Week	Date	Opponent	Location	Time ( ET )	TV	Result	Record
1	Sun. Sep. 7	at Seattle Seahawks	Kingdome	4:00 pm	NBC	L 30–0	0–1
2	Mon. Sep. 15	Denver Broncos	Three Rivers Stadium	9:00 pm	ABC	L 21–10	0–2
3	Sun. Sep. 21	at Minnesota Vikings	Hubert H. Humphrey Metrodome	1:00 pm	NBC	L 31–7	0–3
4	Sun. Sep. 28	at Houston Oilers	Astrodome	1:00 pm	NBC	W 22–16 OT	1–3
5	Sun. Oct. 5	Cleveland Browns	Three Rivers Stadium	1:00 pm	NBC	L 27–24	1–4
6	Mon. Oct. 13	at Cincinnati Bengals	Riverfront Stadium	9:00 pm	ABC	L 24–22	1–5
7	Sun. Oct. 19	New England Patriots	Three Rivers Stadium	1:00 pm	NBC	L 34–0	1–6
8	Sun. Oct. 26	Cincinnati Bengals	Three Rivers Stadium	1:00 pm	NBC	W 30–9	2–6
9	Sun. Nov. 2	Green Bay Packers	Three Rivers Stadium	1:00 pm	CBS	W 27–3	3–6
10	Sun. Nov. 9	at Buffalo Bills	Rich Stadium	1:00 pm	NBC	L 16–12	3–7
11	Sun. Nov. 16	Houston Oilers	Three Rivers Stadium	1:00 pm	NBC	W 21–10	4–7
12	Sun. Nov. 23	at Cleveland Browns	Cleveland Municipal Stadium	1:00 pm	NBC	L 37–31 OT	4–8
13	Sun. Nov. 30	at Chicago Bears	Soldier Field	1:00 pm	NBC	L 13–10 OT	4–9
14	Sun. Dec. 7	Detroit Lions	Three Rivers Stadium	1:00 pm	CBS	W 27–17	5–9
15	Sat. Dec. 13	at New York Jets	Giants Stadium	12:30 pm	NBC	W 45–24	6–9
