Election	Mayor	Seat no 1	Seat no 2	Seat no 3	Seat no 4	Seat no 5	Seat no 6
Before first election	John J. Seguier	Donald Kirk	J. André Laferrière	Edward Whittingham	J. Albert Clément	Arthur E. Ainger	J. C. Sarault
January 25, 1967	J. Albert Clément	Jacques Lachapelle	Claude Allard	Margaret Frigon	Roger Gamache	G. Sanscartier	Harvey E. Uline
November 8, 1968	J. Albert Clément	Jacques Lachapelle	Louis E. Denoncourt	Margaret Frigon	Roger Gamache	Donald S. Dutton*	Harvey E. Uline
October 31, 1971	J. Albert Clément	Jacques Lachapelle	Louis E. Denoncourt	Margaret Frigon	Roger Gamache	Donald S. Dutton	Harvey E. Uline
November 2, 1975	Laurent G. Belley	Réjean-André Sauvé	Ludger Frigon	Roland Tissot	Zsolt Pogany	Chester Craig	Edward J. Toal
November 1979	Laurent G. Belley	Ludger Frigon	Chester Craig	Michel Laporte	Jean-Pierre Picard	Zsolt Pogany	Gilles Pelletier
November 1983	Laurent G. Belley	Denis Jean	Chester Craig	Raymond Léger	Jean-Pierre Picard	Zsolt Pogany	Gilles Pelletier
November 1987	Laurent G. Belley	Denis Jean	Chester Craig	Raymond Léger	Jean-Pierre Picard	Zsolt Pogany	Gilles Pelletier
November 1991	Laurent G. Belley	Denis Jean	Chester Craig	Raymond Léger	Jean-Pierre Picard	Lili Poulin	Gilles Pelletier
November 1995	Laurent G. Belley	Raymond Léger	Jean-Pierre Picard	Yves Carrières	Denis Jean	Lili Poulin	Chester Craig
November 1999	Gilles Pelletier	Ramez Ayoub	Jean Beauchamp	André W. Bédard	Boniface Dalle-Vedove	Lynn Dionne	Marie-José Magnin
November 2003	Gilles Pelletier	Ramez Ayoub	Lyne Rémillard	André W. Bédard	Boniface Dalle-Vedove	Lynn Dionne	Marie-José Magnin
