Electorate	Incumbent	Winner	Majority	Runner up
Auckland Central	Bill Parry	Bill Parry	6,181	C R Dodd
Auckland East	Frederick Schramm	Frederick Schramm	2,626	H T Merritt
Auckland Suburbs	Rex Mason	Rex Mason	4,862	M S Walker
Auckland West	Michael Joseph Savage	Michael Joseph Savage	8,007	John W Kealy
Avon	Dan Sullivan	Dan Sullivan	6,179	Hiram Hunter
Awarua	James Hargest	James Hargest	660	J A Beck
Bay of Islands	Harold Rushworth	Charles Boswell	163	H F Guy
Bay of Plenty	Gordon Hultquist	Gordon Hultquist	169	Bill Sullivan
Buller	Paddy Webb	Paddy Webb	6,144	T O Maddison
Central Otago	William Bodkin	William Bodkin	1,231	J M MacKay
Christchurch East	Tim Armstrong	Tim Armstrong	7,179	K I Armour
Christchurch North	Sidney Holland	Sidney Holland	492	Robert Macfarlane
Christchurch South	Ted Howard	Ted Howard	5,995	Gladstone Ward
Clutha	James Alexander McLean Roy	James Alexander McLean Roy	714	John Edie
Dunedin Central	Peter Neilson	Peter Neilson	3,814	W J Meade
Dunedin North	James Wright Munro	James Wright Munro	3,557	Alexander Smith Falconer
Dunedin South	Fred Jones	Fred Jones	4,314	Rev. Ernest Aderman
Dunedin West	Dr Gervan McMillan	Dr Gervan McMillan	2,639	Thomas Kay Stuart Sidey
Eden	Bill Anderton	Bill Anderton	2,333	Donald Pool
Egmont	Charles Wilkinson	Charles Wilkinson	1,402	T E Trask
Franklin	Arthur Sexton	Jack Massey	2,057	E Piggott
Gisborne	David William Coleman	David William Coleman	3,640	K F Jones
Grey Lynn	John A. Lee	John A. Lee	8,607	J A Govan
Hamilton	Charles Barrell	Charles Barrell	1,860	Albert W Grant
Hauraki	Charles Robert Petrie	John Manchester Allen	1,188	Robert Coulter
Hawkes Bay	Edward Luttrell Cullen	Edward Luttrell Cullen	2,658	George Maddison
Hurunui	George Forbes	George Forbes	535	H E Denton
Hutt	Walter Nash	Walter Nash	6,814	J W Andrews
Invercargill	William Denham	William Denham	2,156	F G Hall-Jones
Kaiapoi	Morgan Williams	Morgan Williams	1,535	G C Warren
Kaipara	Gordon Coates	Gordon Coates	1,689	P McGregor Stewart
Lyttelton	Terry McCombs	Terry McCombs	2,984	I J Wilson
Manawatu	Clifford Hunter	John Cobbe	1,644	Clifford Hunter
Marlborough	(New electorate)	Edwin Meachen	1,525	Edward Healy
Marsden	James Gillespie Barclay	James Gillespie Barclay	557	Alfred Murdoch
Masterton	John Robertson	John Robertson	190	J H Irving
Mataura	David McDougall	Tom Macdonald	1,515	David McDougall
Mid-Canterbury	Horace Herring	Arthur Grigg	74	Horace Herring
Motueka	Keith Holyoake	Clarence Skinner	870	Keith Holyoake
Napier	Bill Barnard	Bill Barnard	3,937	John Ormond
Nelson	Harry Atmore	Harry Atmore	886	J R Kerr
New Plymouth	Sydney George Smith	Frederick Frost	869	Sydney George Smith
