State	Joined	Population 2006	Jul 2013	Jun 2014
Germany	1951	82,428,000	99	96
France	1951	62,886,000	74	74
United Kingdom	1973	60,422,000	73	73
Italy	1951	58,752,000	73	73
Spain	1986	43,758,000	54	54
Poland	2004	38,157,000	51	51
Romania	2007	21,610,000	33	32
Netherlands	1951	16,334,000	26	26
Greece	1981	11,125,000	22	21
Portugal	1986	10,570,000	22	21
Belgium	1951	10,511,000	22	21
Czech Republic	2004	10,251,000	22	21
Hungary	2004	10,077,000	22	21
Sweden	1995	9,048,000	20	20
Austria	1995	8,266,000	19	18
Bulgaria	2007	7,719,000	18	17
Denmark	1973	5,428,000	13	13
Slovakia	2004	5,389,000	13	13
Finland	1995	5,256,000	13	13
Croatia	2013	4,443,000	12	11
Ireland	1973	4,209,000	12	11
Lithuania	2004	3,403,000	12	11
Latvia	2004	2,295,000	9	8
Slovenia	2004	2,003,000	8	8
Estonia	2004	1,344,000	6	6
Cyprus	2004	766,000	6	6
Luxembourg	1951	460,000	6	6
Malta	2004	404,000	6	6
Total	Total	494,070,000	766	751
