Round	Pick	Overall	Name	Position	College
1	8	8	Ed Boell	QB	New York
3	8	23	Buddy Banker	RB	Tulane
5	8	38	Bill Kirchem	OT	Tulane
6	8	48	Joe Boyd	OT	Texas A&M
7	8	58	Roy Zimmerman	QB	San José State
8	8	68	Bud Orf	E	Missouri
9	8	78	Bob Hoffman	RB	Southern California
10	8	88	Bob Seymour	RB	Oklahoma
11	8	98	Howard Stoecker	OT	Southern California
12	8	108	Allen Johnson	G	Duke
13	8	118	Sam Bartholomew	RB	Tennessee
14	8	128	Ernie Lain	RB	Rice
15	8	138	Sandy Sanford	E	Alabama
16	8	148	Bolo Perdue	E	Duke
17	8	158	Steve Andrako	C	Ohio State
18	8	168	Jay Graybeal	RB	Oregon
19	8	178	Charley Slagle	RB	North Carolina
20	8	188	Buck Murphy	RB	Georgia Tech
21	3	193	Mel Wetzel	OT	Missouri
22	3	198	Steve Sitko	QB	Notre Dame
