Date	Tournament	Round	Ground	Opponent	Score 1
30 Jul 2008	Champions League	Second Qualifying Round	H	BATE	1 – 2
6 Aug 2008	Champions League	Second Qualifying Round	A	BATE	2 – 2
9 Aug 2008	Belgian Supercup	Final	A	StandardLiège	1 – 3
16 Aug 2008	Jupiler League	1	A	CercleBrugge	3 – 0
23 Aug 2008	Jupiler League	2	H	Gent	2 – 2
30 Aug 2008	Jupiler League	3	H	Kortrijk	4 – 0
13 Sep 2008	Jupiler League	4	A	Mons	2 – 1
19 Sep 2008	Jupiler League	5	H	Charleroi	2 – 0
26 Sep 2008	Jupiler League	6	A	StandardLiège	1 – 2
3 Oct 2008	Jupiler League	7	H	Mouscron	2 – 1
19 Oct 2008	Jupiler League	8	A	Zulte-Waregem	0 – 4
25 Oct 2008	Jupiler League	9	H	Mechelen	7 – 1
2 Nov 2008	Jupiler League	10	A	Germinal Beerschot	3 – 1
8 Nov 2008	Jupiler League	11	H	Lokeren	2 – 3
11 Nov 2008	Belgian Cup	Sixth	H	Tournai	3 – 1
16 Nov 2008	Jupiler League	12	A	ClubBrugge	1 – 1
22 Nov 2008	Jupiler League	13	H	Westerlo	2 – 0
28 Nov 2008	Jupiler League	14	A	Dender	2 – 0
6 Dec 2008	Jupiler League	15	H	Tubize	5 – 1
14 Dec 2008	Jupiler League	16	A	Roeselare	3 – 0
19 Dec 2008	Jupiler League	17	H	Genk	2 – 0
13 Jan 2009	Belgian Cup	Seventh	A	Mechelen	1 – 2
16 Jan 2009	Jupiler League	18	H	CercleBrugge	1 – 2
31 Jan 2009	Jupiler League	20	A	Kortrijk	3 – 1
7 Feb 2009	Jupiler League	21	H	Mons	3 – 2
15 Feb 2009	Jupiler League	22	A	Charleroi	1 – 0
18 Feb 2009	Jupiler League	19	A	Gent	2 – 1
22 Feb 2009	Jupiler League	23	H	StandardLiège	4 – 2
28 Feb 2009	Jupiler League	24	A	Mouscron	1 – 1
7 Mar 2009	Jupiler League	25	H	Zulte-Waregem	2 – 0
13 Mar 2009	Jupiler League	26	A	Mechelen	1 – 2
21 Mar 2009	Jupiler League	27	H	Germinal Beerschot	2 – 0
5 Apr 2009	Jupiler League	28	A	Lokeren	0 – 0
12 Apr 2009	Jupiler League	29	H	ClubBrugge	1 – 0
19 Apr 2009	Jupiler League	30	A	Westerlo	1 – 0
25 Apr 2009	Jupiler League	31	H	Dender	4 – 0
3 May 2009	Jupiler League	32	A	Tubize	1 – 1
9 May 2009	Jupiler League	33	H	Roeselare	3 – 1
16 May 2009	Jupiler League	34	A	Genk	2 – 0
21 May 2009	Jupiler League	Playoff	H	StandardLiège	1 – 1
24 May 2009	Jupiler League	Playoff	A	StandardLiège	0 – 1
