-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Jillian Beyor *	Danielle Richardson	Natasha Budhi	Jaye Meredith	Jennifer Lee
February	Jennifer Hurt *	Joey Mansfield	Veronica Tejeda	Miranda Janine	[Month Ended]
March	Daniella Bae	Marie Francis*	Kylie Jayde Anderson	Alexia Mason	[Month Ended]
April	Patrycja Mikula*	Nikki Fiction	Adriana	Gianna Lowe	Deanna McCarver
May	Cristal Camden	Shandie	Cherish Lee Crum	Stephanie Olson*	[Month Ended]
June	Carlotta Champagne	Jenna Jordan	Jo Garcia **	Laurena Lacey	[Month Ended]
July	Mallory Dylan*	Mary Karola	Tamika Curry	Danielle Carr	Jessica Jones
August	Yolanda Kurpiarz	Brie Anna*	Kimberlee Ann	Lindsay Saddler	[Month Ended]
September	Angi Mari Yangas	Meghan Allen*	Francessca Demarco	Maryann Murray	[Month Ended]
October	Debbi Davids	Amanda Hanshaw*	Sara Stokes	Caitlin Ferguson	Melany Denyse
November	Amanda Batt	April Ireland	Trina Marie*	Kristy Joe	[Month Ended]
