Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 5, 1993	Miami Dolphins	L 20–24	0–1	Hoosier Dome	51,858
2	September 12, 1993	at Cincinnati Bengals	W 9–6	1–1	Riverfront Stadium	50,299
3	Bye	Bye	Bye	Bye	Bye	Bye
4	September 26, 1993	Cleveland Browns	W 23–10	2–1	Hoosier Dome	59,654
5	October 3, 1993	at Denver Broncos	L 13–35	2–2	Mile High Stadium	74,953
6	October 10, 1993	Dallas Cowboys	L 3–27	2–3	Hoosier Dome	60,453
7	Bye	Bye	Bye	Bye	Bye	Bye
8	October 24, 1993	at Miami Dolphins	L 27–41	2–4	Joe Robbie Stadium	57,301
9	October 31, 1993	New England Patriots	W 9–6	3–4	Hoosier Dome	46,522
10	November 7, 1993	at Washington Redskins	L 24–30	3–5	RFK Stadium	50,523
11	November 14, 1993	New York Jets	L 17–31	3–6	Hoosier Dome	47,351
12	November 21, 1993	at Buffalo Bills	L 9–23	3–7	Rich Stadium	79,101
13	November 29, 1993	San Diego Chargers	L 0–31	3–8	Hoosier Dome	54,110
14	December 5, 1993	at New York Jets	W 9–6	4–8	The Meadowlands	45,799
15	December 12, 1993	at New York Giants	L 6–20	4–9	Giants Stadium	70,411
16	December 19, 1993	Philadelphia Eagles	L 10–20	4–10	Hoosier Dome	44,952
17	December 26, 1993	at New England Patriots	L 0–38	4–11	Foxboro Stadium	26,571
18	January 2, 1994	Buffalo Bills	L 10–30	4–12	Hoosier Dome	43,028
