Pick #	MLS team	Player	Position	Affiliation
11	D.C. United	* Brian Carroll	M	Wake Forest University
12	MetroStars	* Eddie Gaven	M	Nike Project-40
13	San Jose Earthquakes	* Arturo Alvarez	M	Nike Project-40
14	D.C. United	Doug Warren	GK	Clemson University
15	Dallas Burn	* Jason Thompson	F	Eastern Illinois University
16	Los Angeles Galaxy	Scot Thompson	D	UCLA
17	MetroStars	Tim Regan	D	Bradley University
18	Chicago Fire	Damani Ralph	F	University of Connecticut
19	Los Angeles Galaxy	Arturo Torres	M	Loyola Marymount University
20	Los Angeles Galaxy	* Ricky Lewis	D	Clemson University
