Stadium	Capacity	City	Country	Tenant	Opening
Nou Mestalla	75000	Valencia	Spain	Valencia CF	2014
Gazprom Arena	69501	Saint Petersburg	Russia	FC Zenit Saint Petersburg	2015
Baku Olympic Stadium	68000	Baku	Azerbaijan	Azerbaijan national football team	2015
Estadio La Peineta	67500	Madrid	Spain	Club Atlético de Madrid	2015
Ferenc Puskás Stadion	65000	Budapest	Hungary	Hungary national football team	2016
Stade des Lumières	61556	Lyon	France	Olympique Lyonnais	2014
Northumberland Development Project	56250	London	England	Tottenham Hotspur	2016
Fisht Olympic Stadium	47659	Sochi	Russia	2014 Winter Olympics 2014 Winter Paralympics	2014
Arena Baltika	45015	Kaliningrad	Russia	FC Baltika Kaliningrad	2017
Yubileyniy Stadium	45015	Saransk	Russia	FC Mordovia Saransk	2015
VTB Arena	45000	Moscow	Russia	FC Dynamo Moscow	2016
Samara Stadium	44918	Samara	Russia	FC Krylia Sovetov Samara	2017
Arena Baltika	44899	Kaliningrad	Russia	FC Volga Nizhny Novgorod	2017
Otkrytie Arena	44000	Moscow	Russia	FC Spartak Moscow	2014
Timsah Arena	43877	Bursa	Turkey	Bursaspor	2014
Rostov-on-Don Stadium	43702	Rostov-on-Don	Russia	FC Rostov	2015
New Konya Stadium	42276	Konya	Turkey	Konyaspor	2014
Beşiktaş Vodafone Arena	41903	Istanbul	Turkey	Beşiktaş	2014
New Trabzon Stadium	41565	Trabzon	Turkey	Trabzonspor	2016
New Samsun 19 Mayıs Stadium	33919	Samsun	Turkey	Samsunspor	2015
Stadion Widzewa	33128	Łódź	Poland	Widzew Łódź	2013
New Antalya Stadium	33000	Antalya	Turkey	Antalyaspor	2015
New Eskişehir Stadium	33000	Eskişehir	Turkey	Eskişehirspor	2015
New Gaziantep Stadium	33000	Gaziantep	Turkey	Gaziantepspor	2015
Ernest Pohl Stadium	32340	Zabrze	Poland	Górnik Zabrze	2013
Sammy Ofer Stadium	30820	Haifa	Israel	Maccabi Haifa F.C.	2014
VTB Arena	30000	Moscow	Russia	FC Dynamo Moscow	2017
Batumi Stadium	30000	Batumi	Georgia	FC Dinamo Batumi	2013
New Varna Stadium	30000	Varna	Bulgaria	PFC Cherno More Varna	2013
CSKA Moscow Stadium	30000	Moscow	Russia	PFC CSKA Moscow	2015
New Mersin Stadium	25534	Mersin	Turkey	Mersin İdmanyurdu SK	2013
Malatya Arena	25000	Malatya	Turkey	Malatyaspor	2015
New Sakarya Stadium	25000	Sakarya	Turkey	Sakaryaspor	2015
Sivas 4 Eylül Arena	25000	Sivas	Turkey	Sivasspor	2015
Stadion Albert Flórián	25000	Budapest	Hungary	Ferencvárosi TC	2015
City Arena	25000	Trnava	Slovakia	FC Spartak Trnava	2014
Lithuania National Stadium	25000	Vilnius	Lithuania	Lithuania national football team	2016
Debrecen Stadion	25000	Debrecen	Hungary	Debreceni VSC	2014
