Pick	Round	Player	Position	School
30	2	Keith Browner	Linebacker	USC
57	3	Fred Acorn	Defensive Back	Texas
107	4 (from San Diego)	Micheal Gunter	Running Back	Tulsa
112	4 (from the Raiders)	Ron Heller	Offensive Tackle	Penn State
142	6	Chris Washington	Linebacker	Iowa State
169	7	Jay Carroll	Tight End	Minnesota
198	8	Fred Robinson	Defensive End	Miami (FL)
225	9	Rick Mallory	Guard	Washington
254	10	Jim Gallery	Kicker	Minnesota
281	11	Blair Kiel	Quarterback	Notre Dame
310	12	Thad Jemison	Wide Receiver	Ohio State
