Name	Height	Weight	Spike	2008 club
Bian Hongmin Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zhejiang
Yuan Zhi Category:Articles with hCards	m ()	kg (lb)	cm (in)	Liaoning
Guo Peng Category:Articles with hCards	m ()	kg (lb)	cm (in)	Army
Shi Hairong Category:Articles with hCards	m ()	kg (lb)	cm (in)	Jiangsu
Cui Jianjun Category:Articles with hCards	m ()	kg (lb)	cm (in)	Henan
Jiao Shuai Category:Articles with hCards	m ()	kg (lb)	cm (in)	Henan
Yu Dawei Category:Articles with hCards	m ()	kg (lb)	cm (in)	Shangdong
Shen Qiong Category:Articles with hCards	m ()	kg (lb)	cm (in)	Shanghai
Jiang Fudong Category:Articles with hCards	m ()	kg (lb)	cm (in)	Sichuan
Ren Qi Category:Articles with hCards	m ()	kg (lb)	cm (in)	Shanghai
Sui Shengsheng Category:Articles with hCards	m ()	kg (lb)	cm (in)	Liaoning
Fang Yingchao Category:Articles with hCards	m ()	kg (lb)	cm (in)	Shanghai
