CERCLIS ID	County	Listed	Construction completed	Partially deleted	Deleted
ILD980607055	Adams	08/30/1990	03/31/1999	N/A	N/A
ILD980996789	Alexander	10/04/1989	09/28/1999	N/A	01/08/2001
ILD980397079	Cumberland	09/08/1983	09/24/1992	N/A	N/A
IL3210020803	Jo Daviess	03/13/1989	N/A	N/A	N/A
ILD000802827	Lake	09/08/1983	N/A	N/A	N/A
ILD003817137	Lake	06/10/1986	09/12/1989	N/A	02/11/1991
ILD005443544	Lake	09/08/1983	12/31/1991	N/A	N/A
ILD980500102	Lake	03/31/1989	09/23/2005	N/A	N/A
ILD980605836	Lake	02/21/1990	06/29/2001	N/A	N/A
ILD048843809	Madison	03/04/2010	–	–	–
IL0210090049	Will	03/13/1989	09/29/2008	N/A	N/A
IL7213820460	Will	07/22/1987	09/10/2008	N/A	N/A
ILD053219259	Winnebago	09/08/1983	07/13/1998	N/A	N/A
