Date	Name	Local Name	2012 Date	2013 Date
Date	Name	Local Name	2012 Date	2013 Date
January 1 1	New Year's Day	Нова Година, Nova Godina	January 1	January 1
January 2 1	New Year's Day	Нова Година, Nova Godina	January 2	January 2
January 7	Julian Orthodox Christmas	Божић, Božić	January 7	January 7
February 15 1	Serbia National Day	Дан државности Србије, Dan državnosti Srbije	February 15	February 15
February 16 1	Serbia National Day	Дан државности Србије, Dan državnosti Srbije	February 16	February 16
varies	Orthodox Good Friday	Велики петак, Veliki petak	April 13	May 3
varies	Orthodox Easter	Васкрс, Vaskrs	April 15	May 5
varies	Orthodox Easter Monday	Васкрсни понедељак, Vaskrsni ponedeljak	April 16	May 6
May 1 1	May Day / International Workers' Day	Празник рада, Praznik rada	May 1	May 1
May 2 1	May Day / International Workers' Day	Празник рада, Praznik rada	May 2	May 2
November 11 1	Armistice Day	Дан примирја, Dan primirja	November 11	November 11
