No. in series	Title	Directed By	Written By	air date	Production code
1	"A Harvest of Friends"	Michael Landon	Blanche Hanalis , John Hawkins & William Putman	September 11, 1974	1002
2	"Country Girls"	William F. Claxton	Blanche Hanalis & Juanita Bartlett	September 18, 1974	1001
3	"100 Mile Walk"	William F. Claxton	Blanche Hanalis & Ward Hawkins	September 25, 1974	1003
4	"Mr. Edwards' Homecoming"	Michael Landon	Blanche Hanalis & Joel Murcott	October 2, 1974	1004
5	"The Love of Johnny Johnson"	William F. Claxton	Blanche Hanalis & Gerry Day	October 9, 1974	1005
6	"If I Should Wake Before I Die"	Victor French	Blanche Hanalis & Harold Swanton	October 23, 1974	1006
7	"Town Party, Country Party"	Alf Kjellin	Blanche Hanalis & Juanita Bartlett	October 30, 1974	1007
8	"Ma's Holiday"	Leo Penn	Blanche Hanalis & Dale Eunson	November 6, 1974	1010
9	"School Mom"	William F. Claxton	Blanche Hanalis , Ward Hawkins & Jean Rouverol	November 13, 1974	1011
10	"The Raccoon"	William F. Claxton	Blanche Hanalis & Joseph Bonaduce	November 20, 1974	1013
11	"The Voice of Tinker Jones"	Leo Penn	Tony Kayden & Michael Russnow	December 4, 1974	1012
12	"The Award"	William F. Claxton	Michael Landon	December 11, 1974	1014
13/14	"The Lord is My Shepherd"	Michael Landon	Michael Landon	December 18, 1974	1008/1009
15	"Christmas at Plum Creek"	William F. Claxton	Arthur Heinemann	December 25, 1974	1015
16	"Family Quarrel"	William F. Claxton	Ward Hawkins	January 8, 1975	1016
20	"Child of Pain"	Victor French	John Meston	February 12, 1975	1020
21	"Money Crop"	Leo Penn	Teleplay by: Ward Hawkins Story by: John Meston	February 19, 1975	1021
