Week	Date	Opponent	Result	Attendance
1	September 24, 1944	at Card-Pitt	W 30-28	20,698
2	October 8, 1944	Chicago Bears	W 19-7	15,750
3	October 15, 1944	at Detroit Lions	W 20-17	21,115
4	October 22, 1944	at Green Bay Packers	L 30-21	18,780
5	October 29, 1944	at Chicago Bears	L 28-21	23,644
6	November 5, 1944	at Washington Redskins	L 14-10	35,540
7	November 12, 1944	Green Bay Packers	L 42-7	17,166
8	November 19, 1944	at Card-Pitt	W 33-6	2,910
9	November 26, 1944	Detroit Lions	L 26-14	7,462
10	December 10, 1944	at Philadelphia Eagles	L 26-13	24,123
