Manufacturer	Model	Transmission	Engine Capacity	Fuel Type	L/100km Urban (Cold)	L/100km Extra-Urban	L/100km Combined	mpg-UK Urban (Cold)	mpg-UK Extra-Urban	mpg-UK Combined	mpg-US Urban	mpg-US Extra-Urban	mpg-US Combined	CO 2 g/km	Green Rating
Alfa Romeo	147	M5	1598	Petrol	11.2	6.4	8.2	25.2	44.1	34.4	21.0	36.7	28.6	194	F
Alfa Romeo	147	M5	1970	Petrol	12.1	7.0	8.9	23.3	40.4	31.7	19.4	33.6	26.4	211	F
Alfa Romeo	147	M5	1910	Diesel	7.8	4.7	5.8	36.2	60.1	48.7	30.1	50.0	40.6	153	D
Alfa Romeo	147	M6	1910	Diesel	8.0	4.7	5.9	35.3	60.1	47.9	29.4	50.0	39.9	157	D
Alfa Romeo	GT	M5	1747	Petrol	12.1	6.4	8.5	23.3	44.1	33.2	19.4	36.7	27.6	202	F
Alfa Romeo	GT	M5	1970	Petrol	12.2	6.7	8.7	23.2	42.2	32.5	19.3	35.1	27.1	207	F
Alfa Romeo	GT	M6	3179	Petrol	18.6	8.7	12.4	15.2	32.5	22.8	12.7	27.1	19.0	295	G
Alfa Romeo	GT	M6	1910	Diesel	8.5	4.9	6.2	33.2	57.6	45.6	27.6	48.0	38.0	165	D
Alfa Romeo	159 (2008 Model Year)	M5	1796	Petrol	10.3	6.0	7.6	27.4	47.1	37.2	22.8	39.2	31.0	179	E
Alfa Romeo	159 (2008 Model Year)	M6	2198	Petrol	12.8	7.1	9.2	22.1	39.8	30.7	18.4	33.1	25.6	218	F
Alfa Romeo	159 (2008 Model Year)	M6	3195	Petrol	16.7	8.3	11.4	16.9	34.0	24.8	14.1	28.3	20.7	270	G
Alfa Romeo	159 (2008 Model Year)	A6	3195	Petrol	18.2	8.5	12.2	15.5	33.2	23.2	12.9	27.6	19.3	286	G
Alfa Romeo	159 (2008 Model Year)	M6	3195	Petrol	16.4	7.9	11.0	17.2	35.8	25.7	14.3	29.8	21.4	260	G
Alfa Romeo	159 (2008 Model Year)	M6	1910	Diesel	7.9	4.8	5.9	35.8	58.9	47.9	29.8	49.0	39.9	157	D
Alfa Romeo	159 (2008 Model Year)	A6	1910	Diesel	9.9	5.5	7.1	28.5	51.4	39.8	23.7	42.8	33.1	187	F
Alfa Romeo	159 (2008 Model Year)	M6	2387	Diesel	9.2	5.4	6.8	30.7	52.3	41.5	25.6	43.5	34.6	179	E
Alfa Romeo	159 (2008 Model Year)	A6	2387	Diesel	11.4	5.8	7.9	24.8	48.7	35.8	20.7	40.6	29.8	208	F
Alfa Romeo	159 (2008 Model Year)	M6	2387	Diesel	9.7	5.8	7.2	29.1	48.7	39.2	24.2	40.6	32.6	192	F
Alfa Romeo	159 Sportwagon (2008 Model Year)	M5	1796	Petrol	10.7	6.1	7.8	26.4	46.3	36.2	22.0	38.6	30.1	183	E
Alfa Romeo	159 Sportwagon (2008 Model Year)	M6	2198	Petrol	13.0	7.2	9.3	21.7	39.2	30.4	18.1	32.6	25.3	220	F
Alfa Romeo	159 Sportwagon (2008 Model Year)	M6	3195	Petrol	17.0	8.3	11.5	16.6	34.0	24.6	13.8	28.3	20.5	272	G
Alfa Romeo	159 Sportwagon (2008 Model Year)	A6	3195	Petrol	18.3	8.6	12.2	15.4	32.8	23.2	12.8	27.3	19.3	288	G
Alfa Romeo	159 Sportwagon (2008 Model Year)	M6	3195	Petrol	16.5	7.9	11.1	17.1	35.8	25.4	14.2	29.8	21.1	262	G
Alfa Romeo	159 Sportwagon (2008 Model Year)	M6	1910	Diesel	8.0	4.8	6.0	35.3	58.9	47.1	29.4	49.0	39.2	159	D
Alfa Romeo	159 Sportwagon (2008 Model Year)	A6	1910	Diesel	10.0	5.6	7.2	28.2	50.4	39.2	23.5	42.0	32.6	190	F
Alfa Romeo	159 Sportwagon (2008 Model Year)	M6	2387	Diesel	9.2	5.5	6.9	30.7	51.4	40.9	25.6	42.8	34.1	181	E
Alfa Romeo	159 Sportwagon (2008 Model Year)	A6	2387	Diesel	11.6	5.9	8.0	24.4	47.9	35.3	20.3	39.9	29.4	210	F
Alfa Romeo	159 Sportwagon (2008 Model Year)	M6	2387	Diesel	9.9	5.9	7.4	28.5	47.9	38.2	23.7	39.9	31.8	194	F
Alfa Romeo	Brera	M6	2198	Petrol	13.0	7.3	9.4	21.7	38.7	30.1	18.1	32.2	25.1	221	F
Alfa Romeo	Brera	M6	3195	Petrol	16.9	8.4	11.5	16.7	33.6	24.6	13.9	28.0	20.5	273	G
Alfa Romeo	Brera	A6	3195	Petrol	18.4	8.6	12.2	15.4	32.8	23.2	12.8	27.3	19.3	289	G
Alfa Romeo	Brera	M6	2387	Diesel	9.2	5.4	6.8	30.7	52.3	41.5	25.6	43.5	34.6	179	E
Alfa Romeo	Brera (2008 Model Year)	M6	2198	Petrol	12.7	7.2	9.2	22.2	39.2	30.7	18.5	32.6	25.6	218	F
Alfa Romeo	Brera (2008 Model Year)	M6	3195	Petrol	16.7	8.3	11.4	16.9	34.0	24.8	14.1	28.3	20.7	270	G
Alfa Romeo	Brera (2008 Model Year)	A6	3195	Petrol	18.2	8.5	12.1	15.5	33.2	23.3	12.9	27.6	19.4	286	G
Alfa Romeo	Brera (2008 Model Year)	M6	3195	Petrol	16.4	7.9	11.0	17.2	35.8	25.7	14.3	29.8	21.4	260	G
Alfa Romeo	Brera (2008 Model Year)	M6	2387	Diesel	9.2	5.4	6.8	30.7	52.3	41.5	25.6	43.5	34.6	179	E
Alfa Romeo	Brera (2008 Model Year)	A6	2387	Diesel	11.4	5.8	7.9	24.8	48.7	35.8	20.7	40.6	29.8	208	F
Alfa Romeo	Spider	M6	2198	Petrol	13.0	7.3	9.4	21.7	38.7	30.1	18.1	32.2	25.1	221	F
Alfa Romeo	Spider	A6	3195	Petrol	18.4	8.6	12.2	15.4	32.8	23.2	12.8	27.3	19.3	289	G
Alfa Romeo	Spider	M6	3195	Petrol	16.9	8.4	11.5	16.7	33.6	24.6	13.9	28.0	20.5	273	G
Alfa Romeo	Spider	M6	2387	Diesel	9.2	5.4	6.8	30.7	52.3	41.5	25.6	43.5	34.6	179	E
Alfa Romeo	Spider (2008 Model Year)	M6	2198	Petrol	12.8	7.1	9.2	22.1	39.8	30.7	18.4	33.1	25.6	218	F
Alfa Romeo	Spider (2008 Model Year)	M6	3195	Petrol	16.9	8.4	11.5	16.7	33.6	24.6	13.9	28.0	20.5	272	G
Alfa Romeo	Spider (2008 Model Year)	A6	3195	Petrol	18.4	8.6	12.2	15.4	32.8	23.2	12.8	27.3	19.3	288	G
Alfa Romeo	Spider (2008 Model Year)	M6	3195	Petrol	16.5	7.9	11.1	17.1	35.8	25.4	14.2	29.8	21.1	262	G
Alfa Romeo	Spider (2008 Model Year)	M6	2387	Diesel	9.2	5.4	6.8	30.7	52.3	41.5	25.6	43.5	34.6	179	E
Alfa Romeo	Spider (2008 Model Year)	A6	2387	Diesel	11.4	5.8	7.9	24.8	48.7	35.8	20.7	40.6	29.8	208	F
Aston Martin Lagonda	DB9 08MY	A6	5935	Petrol	24.9	11.7	16.5	11.3	24.1	17.1	9.4	20.1	14.2	394	G
Aston Martin Lagonda	DB9 08MY	M6	5935	Petrol	26.4	12.8	17.8	10.7	22.1	15.8	8.9	18.4	13.2	421	G
Aston Martin Lagonda	DB9 09MY	A6	5935	Petrol	24.1	10.6	15.6	11.7	26.6	18.2	9.7	22.1	15.2	368	G
Aston Martin Lagonda	DB9 09MY	M6	5935	Petrol	24.6	11.7	16.4	11.5	24.1	17.2	9.6	20.1	14.3	389	G
Aston Martin Lagonda	V8 Vantage	M6	4282	Petrol	22.5	10.6	15.0	12.5	26.6	18.8	10.4	22.1	15.7	358	G
Aston Martin Lagonda	V8 Vantage	ASM	4282	Petrol	23.2	10.4	15.1	12.2	27.1	18.7	10.2	22.6	15.6	360	G
Aston Martin Lagonda	DBS	M6	5935	Petrol	24.3	11.7	16.4	11.6	24.1	17.2	9.7	20.1	14.3	388	G
Audi	A3	M6	1390	Petrol	8.6	5.3	6.5	32.8	53.3	43.5	27.3	44.4	36.2	154	D
Audi	A3	M5	1595	Petrol	9.7	5.7	7.2	29.1	49.6	39.2	24.2	41.3	32.6	171	E
Audi	A3	A6	1595	Petrol	10.9	5.9	7.7	25.9	47.9	36.7	21.6	39.9	30.6	183	E
Audi	A3	M6	1598	Petrol	8.8	5.3	6.6	32.1	53.3	42.8	26.7	44.4	35.6	158	D
Audi	A3	M6	1781	Petrol	10.0	5.7	7.3	28.2	49.6	38.7	23.5	41.3	32.2	174	E
Audi	A3	D6	1781	Petrol	10.4	5.8	7.5	27.2	48.7	37.7	22.6	40.6	31.4	179	E
