Name	Years	Regular season	Playoffs	Total
Stan Mikita Category:Articles with hCards	1959–1979	1394	155	1549
Bobby Hull Category:Articles with hCards	1957–1972	1063	119	1182
Eric Nesterenko Category:Articles with hCards	1956–1972	1013	115	1128
Bob Murray Category:Articles with hCards	1975–1990	1008	112	1120
Doug Wilson Category:Articles with hCards	1977–1991	938	95	1033
Denis Savard Category:Articles with hCards	1980–1990 1995–1997	881	131	1012
Dennis Hull Category:Articles with hCards	1964–1977	904	97	1001
Steve Larmer Category:Articles with hCards	1981–1993	891	107	998
Tony Esposito Category:Articles with hCards	1969–1983	873	99	972
Ron "Chico" Maki Category:Articles with hCards	1961–1975	841	113	954
