Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Terry Armstrong	FW	15 (2)	1	0	0	0	0	15 (2)	1
Paul Bielby	MF	29 (2)	5	1	0	0	0	30 (2)	5
Jim Branagan	DF	13 (1)	0	0	0	0	0	13 (1)	0
Daryl Brook	FW	1	0	0	0	0	0	1	0
Malcolm Brown	DF	42	0	1	0	2	0	45	0
Bobby Campbell	FW	7	3	0	0	0	0	7	3
David Cowling	MF	25 (1)	1	1	0	0	0	26 (1)	1
Peter Fletcher	FW	31 (4)	12	0 (1)	1	2	0	33 (5)	13
Paul Gartland	DF	4	0	0	0	0	0	4	0
Terry Gray	FW	22 (4)	1	1	0	0	0	23 (4)	1
Keith Hanvey	DF	32	2	0	0	2	0	34	2
Peter Hart	MF	46	1	1	0	2	0	49	1
Ian Holmes	MF	31 (3)	11	0	0	2	1	33 (3)	12
Peter Howey	MF	10	1	0	0	2	0	12	1
Mark Lillis	MF	11 (1)	0	1	0	0	0	12 (1)	0
Frank McGrellis	FW	4 (1)	0	0	0	2	0	6 (1)	0
Keith Ripley	MF	2 (3)	0	0	0	0 (1)	1	2 (4)	1
Ian Robins	FW	37 (1)	16	1	0	0	0	38 (1)	16
Phil Sandercock	DF	36	0	1	0	2	0	39	0
Tommy Smith	FW	0 (1)	0	0	0	0	0	0 (1)	0
Alan Starling	GK	45	0	1	0	2	0	48	0
Dave Sutton	DF	39	1	1	0	2	0	42	1
Dick Taylor	GK	1	0	0	0	0	0	1	0
Chris Topping	DF	23	1	1	0	2	0	26	1
