Rider	Manufacturer	Laps	Time/Retired	Grid
Jorge Lorenzo	Aprilia	24	+40:25.904	1
Alex de Angelis	Aprilia	24	+3.857	7
Álvaro Bautista	Aprilia	24	+8.683	3
Andrea Dovizioso	Honda	24	+17.948	2
Hiroshi Aoyama	KTM	24	+30.800	4
Marco Simoncelli	Gilera	24	+31.135	8
Héctor Barberá	Aprilia	24	+33.323	5
Mika Kallio	KTM	24	+40.807	10
Roberto Locatelli	Gilera	24	+1:11.829	13
Yuki Takahashi	Honda	24	+1:18.958	15
Fabrizio Lai	Aprilia	24	+1:19.361	11
Taro Sekiguchi	Aprilia	24	+1:26.810	19
Shuhei Aoyama	Honda	24	+1:26.850	14
Ratthapark Wilairot	Honda	24	+1:28.717	17
Karel Abraham	Aprilia	24	+1:28.949	20
Dirk Heidolf	Aprilia	24	+1:30.407	22
Aleix Espargaró	Aprilia	24	+1:33.812	12
Efren Vazquez	Aprilia	24	+1:37.706	26
Alex Baldolini	Aprilia	24	+1:44.925	16
Jules Cluzel	Honda	24	+1:47.373	18
Eugene Laverty	Honda	23	+1 Lap	21
Imre Toth	Aprilia	23	+1 Lap	25
Ronald Beitler	Honda	23	+1 Lap	27
Randy Gevers	Aprilia	23	+1 Lap	28
Thomas Luthi	Aprilia	18	Retirement	6
Dan Linfoot	Aprilia	11	Accident	23
Hans Smees	Aprilia	10	Retirement	24
Julián Simón	Honda	8	Retirement	9
