No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
182	1	"Cherished"	Ed Sherin	Kathy McCormick, Carl Nelson, Scott Tobin	September 23, 1998	E0203
183	2	"DWB"	Constantine Makris	René Balcer , Kathy McCormick	October 7, 1998	E0205
184	3	"Bait"	Lewis H. Gould	I. C. Rapoport , David Shore	October 14, 1998	E0204
185	4	"Flight"	David Platt	Richard Sweren, William N. Fordes	October 21, 1998	E0209
186	5	"Agony"	Constantine Makris	Kathy McCormick	November 4, 1998	E0216
187	6	"Scrambled"	Martha Mitchell	Dick Teresi , Ed Zuckerman, Judith Hopper	November 11, 1998	E0208
188	7	"Venom"	Jace Alexander	I. C. Rapoport, David Shore	November 18, 1998	E0206
189	8	"Punk"	Matthew Penn	Matt Witten , Richard Sweren	November 25, 1998	E0215
190	9	" True North "	Arthur W. Forney	Ed Zuckerman	December 9, 1998	E0207
191	10	"Hate"	Constantine Makris	René Balcer	January 6, 1999	E0214
192	11	"Ramparts"	Matthew Penn	Kathy McCormick, Lynne E. Litt	January 13, 1999	E0211
193	12	"Haven"	David Platt	David Shore, I. C. Rapoport	February 10, 1999	E0219
194	13	"Hunters"	Richard Dobbs	Gerry Conway , William N. Fordes	February 10, 1999	E0218
195	14	" Sideshow "	Ed Sherin	René Balcer	February 17, 1999	E0210
196	15	"Disciple"	Martha Mitchell	Kathy McCormick, Lynne E. Litt, Richard Sweren	February 24, 1999	E0220
197	16	"Harm"	Richard Dobbs	Eddie Feldmann, René Balcer	March 3, 1999	E0213
198	17	"Shield"	Stephen Wertimer	David Shore, I. C. Rapoport, René Balcer	March 24, 1999	E0220
199	18	"Juvenile"	Lewis H. Gould	Richard Sweren, Lynne E. Litt	April 14, 1999	E0223
200	19	"Tabula Rasa"	Richard Dobbs	William N. Fordes, Kathy McCormick	April 21, 1999	E0222
201	20	" Empire "	Matthew Penn	René Balcer	May 5, 1999	E0217
202	21	"Ambitious"	Christopher Misiano	Barry M. Schkolnick, Richard Sweren	May 12, 1999	E0221
203	22	"Admissions"	Jace Alexander	William N. Fordes, Lynne E. Litt, Kathy McCormick	May 19, 1999	E0224
204	23	"Refuge (Part 1)"	Constantine Makris	René Balcer	May 26, 1999	E0212
