Player	Position	Date of Birth (Age)	Caps	Club/province
Carlo Festuccia	Hooker	20 June 1980	39	Métro Racing
Leonardo Ghiraldini	Hooker	26 December 1984	5	Calvisano
Fabio Ongaro	Hooker	23 September 1977	18	Saracens
Martin Castrogiovanni	Prop	21 October 1981	45	Leicester
Lorenzo Cittadini	Prop	17 December 1982	0	Calvisano
Andrea Lo Cicero	Prop	7 May 1976	67	Métro Racing
Carlos Nieto	Prop	25 June 1976	21	Gloucester
Salvatore Perugini	Prop	6 March 1978	44	Toulouse
Marco Bortolami	Lock	12 June 1980	67	Gloucester
Carlo Del Fava	Lock	1 July 1981	21	Ulster
Santiago Dellapè	Lock	9 May 1978	44	Biarritz
Antonio Pavanello	Lock	13 October 1982	0	Treviso
Tommaso Reato	Lock	12 May 1984	0	Rugby Rovigo
Robert Barbieri	Flanker	5 June 1984	0	Treviso
Mauro Bergamasco	Flanker	1 May 1979	58	Stade Français
Josh Sole	Flanker	15 February 1980	21	Viadana
Alessandro Zanni	Flanker	31 January 1984	16	Calvisano
Jaco Erasmus	Number 8	31 July 1979	2	Viadana
Sergio Parisse ( c )	Number 8	13 September 1983	42	Stade Français
Simon Picone	Scrum-half	26 September 1982	10	Treviso
Pietro Travagli	Scrum-half	28 April 1981	2	Rugby Parma
Paolo Buso	Fly-half	28 July 1986	1	Calvisano
Andrea Masi	Fly-half	30 March 1981	31	Biarritz
Ramiro Pez	Fly-half	6 December 1978	40	Venezia Mestre
Mirco Bergamasco	Centre	23 February 1983	44	Stade Français
Gonzalo Canale	Centre	11 November 1982	33	Clermont
Pablo Canavosio	Centre	26 December 1981	16	Castres
Denis Dallan	Centre	4 March 1978	40	Stade Français
Enrico Patrizio	Centre	15 January 1985	1	Petrarca Rugby
Alessio Galante	Wing	24 October 1983	0	Gran Parma
Ezio Galon	Wing	22 July 1977	11	Rugby Parma
Ludovico Nitoglia	Wing	27 October 1983	10	Calvisano
Matteo Pratichetti	Wing	27 July 1985	7	Calvisano
Kaine Robertson	Wing	29 October 1980	23	Viadana
Alberto Sgarbi	Wing	26 November 1986	0	Treviso
David Bortolussi	Fullback	21 July 1981	10	Montpellier
Andrea Marcato	Fullback	13 April 1983	2	Treviso
