Maker	Model	Intro year	Screen size (inch)	Self-lit	Screen type	Weight	Screen pixels	Touch screen	micro SDHC
Aluratek	Libre Ebook Reader Pro	2009	5	no	ePaper	213g (7.5oz)	600 × 800	No	up to 32 GB
Amazon.com	Kindle Paperwhite 3G	2012	6	Yes	eInk Pearl	221g (7.8oz)	758 × 1024	Yes 2-Point	No
Amazon.com	Kindle Paperwhite Wi-Fi	2012	6	Yes	eInk Pearl	213g (7.5oz)	758 × 1024	Yes 2-Point	No
Amazon.com	Kindle (4th generation)	2011	6	no	eInk Pearl	170g (6.0oz)	600 × 800	No	No
Barnes & Noble	Nook Simple Touch	2011	6	no	eInk Pearl	212g (7.5oz)	600 × 800	Yes	Yes
Barnes & Noble	Nook Simple Touch with Glowlight	2012	6	Yes	eInk Pearl	212g (7.5oz)	600 × 800	Yes	Yes
Bookeen	Cybook Odyssey HD FrontLight	2012	6	Yes	eInk Pearl + HSIS	212g (7.5oz)	758 × 1024	Yes	Yes
Bookeen	Cybook Odyssey	2013	6	no	eInk Pearl + HSIS	180g (6.35oz)	600 × 800	Yes	Yes
Bookeen	Cybook Orizon	2010	6	no	SiPix	245g (8.6oz)	600 × 800	Yes	Yes
bq	Movistar ebook	2011	6	no	AUO + SiPix	244g (8.6oz)	600 × 800	Yes	up to 16 GB
Various private labels	Generic 6" touchscreen	varies	6	no	eInk	240g (8.5oz)	600 × 800	Yes	SDHC
Ectaco	JetBook Color	2012	9.7	no	Triton Color E Ink	662g (23.4oz)	1200 × 1600	Yes	up to 32GB
Elonex	621EB	2009	6	no	eInk	180g (6.3oz)	600 × 800	No	Yes
Icarus Reader	Icarus Excel	2012	9.7	no	eInk Pearl	530g (19oz)	825 × 1200	No	Yes
Icarus Reader	Icarus 8	2013	8	no	ePaper	300g (10.5oz)	768 × 1024	No	Yes
Icarus Reader	Icarus Essence	2013	6	no	ePaper	220g (7.8oz)	800 × 600	No	Yes
Icarus Reader	Icarus Sense G2	2011	6	no	eInk	220g (7.8oz)	600 × 800	Yes	Yes
Iriver	Iriver Story HD	2011	6	no	eInk Pearl	207g (7.3oz)	768 × 1024	No	SDHC
JinKe	Hanlin V5	2009	5	no	eInk	160g (5.6oz)	600 × 800	No	SDHC 16GB
Kobo Inc.	Kobo Aura HD	2013	6.8	Yes	eInk Pearl	240g (8.5oz)	1440 × 1080	Yes	Yes
Kobo Inc.	Kobo Glo	2012	6	Yes	eInk Pearl	185g (6.5oz)	758 × 1024	Yes	Yes
Kobo Inc.	Kobo Mini	2012	5	no	eInk Vizplex V110	134g (4.7oz)	600 × 800	Yes	No
Kobo Inc.	Kobo Touch	2011	6	no	eInk Pearl	200g (7.1oz)	600 × 800	Yes	Yes
Kolporter	eClicto	2007	6	no	eInk	174g (6.1oz)	600 × 800	No	SD
Onyx Inc.	BOOX i62	2011	6	no	eInk pearl	238g	600x800	Yes	TF
Onyx Inc.	BOOX i62ML	2012	6	Yes	eInk HD	238g (8.4oz)	758 × 1024	Yes (IR)	TF
Onyx Inc.	Boox M92/92S	2011	9.7	no	eInk Pearl	520g (18oz)	825 × 1200	Stylus	SDHC
PocketBook	PocketBook 360 Plus	2011	5	no	eInk	150g (5.3oz)	600 × 800	No	Yes
PocketBook	PocketBook Pro 912	2011	9.7	no	eInk	565g (20oz)	825 × 1200	Yes	Yes
PocketBook	PocketBook Touch	2011	6	no	eInk Pearl	195g (6.9oz)	600 × 800	Yes	Yes
PocketBook	PocketBook Basic New	2012	6	no	eInk	180g (6.3oz)	600 × 800	No	up to 32gb
Sony	Reader Wi-Fi PRS-T2	2012	6	no	eInk Pearl	167g (5.9oz)	600 × 800	Yes 2-Point	Yes
txtr	beagle	2013	5	no	eInk	128 g (4.5oz)	600 x 800	No	No
Wexler	Flex One	2012	6	no	LG flex	110g (3.9oz)	1024 x 768	No	Micro SD
Maker	Model	Intro year	Screen size (inch)	Self-lit	Screen type	Weight	Screen pixels	Touch screen	micro SDHC
