Season	Champion	Runner-up	Third place	Top scorer
1994 *	Spartak Moscow (3)	Dynamo Moscow	Lokomotiv Moscow	Igor Simutenkov ( Dinamo Moscow , 21 goals)
1995 *	Alania Vladikavkaz	Lokomotiv Moscow	Spartak Moscow	Oleg Veretennikov ( Rotor Volgograd , 25 goals)
1996 *	Spartak Moscow (4)	Alania Vladikavkaz	Rotor Volgograd	Aleksandr Maslov ( Rostselmash , 23 goals)
1997 *	Spartak Moscow (5)	Rotor Volgograd	Dynamo Moscow	Oleg Veretennikov ( Rotor Volgograd , 22 goals)
1998 **	Spartak Moscow (6)	CSKA Moscow	Lokomotiv Moscow	Oleg Veretennikov ( Rotor Volgograd , 22 goals)
1999 **	Spartak Moscow (7)	Lokomotiv Moscow	CSKA Moscow	Georgi Demetradze ( Alania Vladikavkaz , 21 goals)
2000 **	Spartak Moscow (8)	Lokomotiv Moscow	Torpedo Moscow	Dmitri Loskov ( Lokomotiv Moscow , 18 goals)
2001 **	Spartak Moscow (9)	Lokomotiv Moscow	Zenit Saint Petersburg	Dmitri Vyazmikin ( Torpedo Moscow , 18 goals)
2003	CSKA Moscow	Zenit Saint Petersburg	Rubin Kazan	Dmitri Loskov ( Lokomotiv Moscow , 14 goals)
2005	CSKA Moscow (2)	Spartak Moscow	Lokomotiv Moscow	Dmitri Kirichenko ( FC Moscow , 14 goals)
2006	CSKA Moscow (3)	Spartak Moscow	Lokomotiv Moscow	Roman Pavlyuchenko ( Spartak Moscow , 18 goals)
2008	Rubin Kazan	CSKA Moscow	Dynamo Moscow	Vágner Love ( CSKA Moscow , 20 goals)
2009	Rubin Kazan (2)	Spartak Moscow	Zenit Saint Petersburg	Welliton ( Spartak Moscow , 21 goals)
2010	Zenit Saint Petersburg (2)	CSKA Moscow	Rubin Kazan	Welliton ( Spartak Moscow , 19 goals)
