Outcome	Date	Championship	Surface	Opponent	Score
Runner-up	1974	Salt Lake City , US	Indoors	Jimmy Connors	6–4, 6–7, 3–6
Winner	1974	Vienna , Austria	Hard (i)	Andrew Pattison	6–4, 3–6, 6–3, 6–2
Runner-up	1975	Philadelphia WCT , US	Carpet	Marty Riessen	6–7 (1–7) , 7–5, 2–6, 7–6 (7–0) , 3–6
Runner-up	1975	Roanoke , US	Indoors	Roger Taylor	6–7, 6–7
Runner-up	1975	Salisbury , US	Carpet	Jimmy Connors	7–5, 5–7, 1–6, 6–3, 0–6
Winner	1975	New York City , US	Indoor	Jimmy Connors	W/O
Runner-up	1975	Orlando WCT , US	Hard	Rod Laver	3–6, 4–6
Winner	1975	St. Louis , US	Clay	Roscoe Tanner	2–6, 6–2, 6–3
Runner-up	1975	Bermuda	Clay	Jimmy Connors	1–6, 4–6
Runner-up	1976	Indianapolis WCT , US	Carpet	Arthur Ashe	2–6, 7–6 (8–6) , 4–6
Runner-up	1976	Toronto Indoor WCT , Canada	Carpet	Björn Borg	6–2, 3–6, 1–6
Runner-up	1976	Charlotte WCT , US	Carpet	Tony Roche	3–6, 6–3, 1–6
Runner-up	1977	Richmond WCT , US	Carpet	Tom Okker	6–3, 3–6, 4–6
Winner	1977	Ocean City , US	Hard	Robert Lutz	3–6, 6–1, 6–2
Runner-up	1977	Monterrey WCT , Mexico	Carpet	Wojtek Fibak	4–6, 3–6
Runner-up	1977	London WCT , UK	Hard (i)	Eddie Dibbs	6–7 (2–7) , 7–6 (7–5) , 4–6
Runner-up	1977	Houston WCT , US	Hard	Adriano Panatta	6–7 (4–7) , 7–6 (7–3) , 1–6
Winner	1977	Rome , Italy	Clay	Antonio Zugarelli	6–2, 7–6 (7–2) , 3–6, 7–6 (7–5)
Winner	1977	Brisbane , Australia	Grass	Tony Roche	6–7, 6–1, 6–1, 7–5
Winner	1977	Perth , Australia	Hard	Geoff Masters	6–3, 6–4, 6–2
Winner	1977	Australian Open , Melbourne	Grass	John Lloyd	6–3, 7–6 (7–1) , 5–7, 3–6, 6–2
Winner	1978	Richmond WCT, US	Carpet	John Newcombe	6–3, 6–4
Runner-up	1978	Las Vegas , US	Hard	Björn Borg	5–6, 6–5, 4–6, 5–6
Runner-up	1978	Milan WCT , Italy	Carpet	Björn Borg	3–6, 3–6
Winner	1978	WCT Finals , US	Carpet	Eddie Dibbs	6–3, 6–2, 6–1
Winner	1978	Forest Hills , US - WCT Invitational	Clay	Ilie Năstase	6–2, 6–0
Runner-up	1979	Monte Carlo , Monaco	Clay	Björn Borg	2–6, 1–6, 3–6
Winner	1979	Rome, Italy	Clay	Guillermo Vilas	6–7 (4–7) , 7–6 (7–0) , 6–7 (5–7) , 6–4, 6–2
Winner	1979	Kitzbühel , Austria	Clay	Pavel Složil	6–2, 6–2, 6–4
Runner-up	1979	US Open , New York	Hard	John McEnroe	5–7, 3–6, 3–6
Winner	1979	Sydney Indoor , Australia	Hard (i)	Guillermo Vilas	4–6, 6–3, 6–1, 7–6
Runner-up	1979	Masters , New York	Carpet	Björn Borg	2–6, 2–6
Runner-up	1979	Dorado Beach,US	Hard	Jimmy Connors	5-6,0-6,4-6
Runner-up	1980	Pepsi Grand Slam , Boca Raton	Clay	Björn Borg	1–6, 7–5, 1–6
Winner	1980	WCT Tournament of Champions , US	Clay	John McEnroe	2–6, 6–2, 6–0
Runner-up	1980	French Open , Paris	Clay	Björn Borg	4–6, 1–6, 2–6
Winner	1980	Stuttgart Outdoor , Germany	Clay	Wojtek Fibak	6–2, 7–5, 6–2
Runner-up	1980	Sydney Indoor , Australia	Hard (i)	John McEnroe	3–6, 4–6
Winner	1980	Melbourne Indoor , Australia	Carpet	Peter McNamara	7–5, 6–3
Runner-up	1981	Monterrey WCT, Mexico	Carpet	Johan Kriek	6–7, 6–3, 6–7
Runner-up	1981	Melbourne Indoor, Australia	Carpet	Peter McNamara	6–4, 1–6, 5–5 retired
Winner	1981	Johannesburg , South Africa	Hard	Jeff Borowiak	6–4, 7–6, 6–1
Runner-up	1981	Masters, New York	Carpet	Ivan Lendl	7–6 (7–5) , 6–2, 6–7 (6–8) , 2–6, 4–6
Runner-up	1982	Genova WCT , Italy	Carpet	Ivan Lendl	7–6, 4–6, 4–6, 3–6
Winner	1982	Brussels , Belgium	Hard (i)	Mats Wilander	4–6, 7–6, 6–2
Runner-up	1982	Zürich WCT , Switzerland	Carpet	Bill Scanlon	5–7, 6–7, 6–1, 6–0, 4–6
Winner	1982	Florence , Italy	Clay	Stefan Simonsson	4–6, 6–3, 6–1
Winner	1982	Toronto , Canada	Hard	Ivan Lendl	4–6, 6–1, 6–3
Winner	1982	Melbourne Indoor, Australia	Carpet	Eliot Teltscher	2–6, 6–2, 6–2
Winner	1982	Johannesburg, South Africa	Hard	Guillermo Vilas	7–6, 6–2, 4–6, 7–6
Runner-up	1983	Forest Hills WCT , US	Clay	John McEnroe	3–6, 5–7
Winner	1983	Basel , Switzerland	Hard (i)	Wojtek Fibak	4–6, 6–1, 7–5, 5–5, retired
Runner-up	1984	Toronto, Canada	Hard	John McEnroe	0–6, 3–6
Winner	1984	Treviso , Italy	Carpet	Tarik Benhabiles	6–1, 6–1
Runner-up	1984	Johannesburg, South Africa	Hard	Eliot Teltscher	3–6, 1–6, 6–7
