Event	Time	Club	Date	Location
50m freestyle	25.28	Jövő SC	28 June 2009	Eger , Hungary
100m freestyle	53.74	Jövő SC	30 July 2009	Rome , Italy
200m freestyle	1:56.47	Jövő SC	28 July 2009	Rome , Italy
400m freestyle	4:05.61	BVSC	28 July 2013	Barcelona , Spain
800m freestyle	8:24.79	BVSC	30 July 2011	Shanghai , China
1500m freestyle	16:02.58	BVSC	29 July 2013	Barcelona , Spain
50m backstroke	28.83	Bajai SVSC	16 June 2013	Canet-en-Roussillon , France
100m backstroke	59.40	Bajai SVSC	29 July 2013	Barcelona , Spain
200m backstroke	2:06.62	Bp. Spartacus	25 August 1991	Athens , Greece
50m breaststroke	31.34	Bp. Spartacus	20 May 2000	Monte Carlo , Monaco
100m breaststroke	1:07.79	Bp. Spartacus	17 September 2000	Sydney , Australia
200m breaststroke	2:24.03	Bp. Spartacus	20 September 2000	Sydney , Australia
50m butterfly	26.68	Kőbánya SC	31 July 2009	Rome , Italy
100m butterfly	58.39	Kőbánya SC	9 August 2008	Beijing , China
200m butterfly	2:04.27	Bajai SVSC	29 July 2009	Rome , Italy
200m individual medley	2:07.46	Bajai SVSC	27 July 2009	Rome , Italy
400m individual medley	4:30.31	Bajai SVSC	2 August 2009	Rome , Italy
4×100m freestyle relay	3:37.64	Hungary	26 July 2009	Rome , Italy
4×200m freestyle relay	7:48.04	Hungary	30 July 2009	Rome , Italy
4×100m medley relay	4:03.63	Hungary	1 August 2009	Rome , Italy
