Season no.	Series no.	Title	Directed by	Written by	Original air date	Production code
1	46	"Undaunted Mettle"	Steve Shill	René Balcer & Stephanie Sengupta	September28,2003	E4502
2	47	"Gemini"	Frank Prinzi	René Balcer & Jim Sterling	October5,2003	E4503
3	48	"The Gift"	Alex Zakrzewski	René Balcer & Marlane Gomard Meyer	October12,2003	E4501
4	49	"But Not Forgotten"	Constantine Makris	René Balcer & Gerry Conway	October19,2003	E4504
5	50	"Pravda"	Alex Zakrzewski	René Balcer & Warren Leight	October26,2003	E4509
6	51	"Stray"	Frank Prinzi	René Balcer & Elizabeth Benjamin	November2,2003	E4511
7	52	"A Murderer Among Us"	Steve Shill	René Balcer & Diana Son	November9,2003	E4512
8	53	"Sound Bodies"	Jean de Segonzac & Frank Prinzi	René Balcer	November16,2003	E4513
9	54	"Happy Family"	Frank Prinzi	René Balcer & Marlane Gomard Meyer	November23,2003	E4508
10	55	"F.P.S."	Darnell Martin	René Balcer & Gerry Conway	January4,2004	E4506
11	56	"Mad Hops"	Christopher Swartout	René Balcer & Jim Sterling	January11,2004	E4514
12	57	"Unrequited"	Jean de Segonzac	René Balcer & Stephanie Sengupta	January18,2004	E4507
13	58	"Pas de Deux"	Frank Prinzi	René Balcer & Warren Leight	February15,2004	E4516
14	59	"Mis-Labeled"	Joyce Chopra	René Balcer & Elizabeth Benjamin	February22,2004	E4515
15	60	"Shrink-Wrapped"	Jean de Segonzac	René Balcer & Diana Son	March7,2004	E4510
16	61	"The Saint"	Frank Prinzi	René Balcer & Marlane Gomard Meyer	March14,2004	E4517
17	62	"Conscience"	Alex Chapple	René Balcer & Gerry Conway	March28,2004	E4519
18	63	"Ill-Bred"	Steve Shill	René Balcer & Jim Sterling	April18,2004	E4520
19	64	"Fico di Capo"	Alex Zakrzewski	René Balcer & Stephanie Sengupta	May9,2004	E4518
20	65	"D.A.W."	Frank Prinzi	René Balcer & Warren Leight	May16,2004	E4522
