Date	Opponent	Score	Decision	Attendance	Record
March 2	@ New York Islanders	4 - 2	Raycroft	11,298	28-35-1
March 4	Detroit Red Wings	3 - 2	Raycroft	18,007	28-36-1
March 8	@ Chicago Blackhawks	5 - 1	Budaj	22,121	29-36-1
March 10	Atlanta Thrashers	3 - 0	Budaj	13,608	29-37-1
March 12	Minnesota Wild	2 - 1	Budaj	14,213	30-37-1
March 14	@ Edmonton Oilers	3 - 2	Budaj	16,839	31-37-1
March 15	@ Vancouver Canucks	4 - 2	Raycroft	18,630	31-38-1
March 17	@ Minnesota Wild	3 - 2	Budaj	18,568	31-38-2
March 19	Edmonton Oilers	8 - 1	Budaj	13,612	31-39-2
March 22	@ San Jose Sharks	3 - 1	Raycroft	17,496	31-40-2
March 25	Anaheim Ducks	7 - 2	Budaj	16,279	31-41-2
March 27	Vancouver Canucks	4 - 1	Raycroft	16,177	31-42-2
March 29	@ Anaheim Ducks	4 - 1	Budaj	17,182	31-43-2
