Game	Date	Opponent	Score	Location	Record
3	November 2	at New York Knicks	W 117-107	Madison Square Garden	1-2
4	November 6	at Chicago Bulls	W 91-69	United Center	2-2
5	November 7	Los Angeles Lakers	W 98-95 (OT)	FleetCenter	3-2
6	November 9	at Minnesota Timberwolves	W 105-99	Target Center	4-2
7	November 11	Utah Jazz	W 112-95	FleetCenter	5-2
8	November 13	Philadelphia 76ers	W 91-81	FleetCenter	6-2
9	November 15	Dallas Mavericks	L 86-97	FleetCenter	6-3
10	November 16	at Milwaukee Bucks	L 85-104	Bradley Center	6-4
11	November 20	New Jersey Nets	W 96-79	FleetCenter	7-4
12	November 22	Atlanta Hawks	W 105-98 (20T)	FleetCenter	8-4
13	November 23	at Atlanta Hawks	W 109-99	Philips Arena	9-4
14	November 27	Chicago Bulls	W 92-82	FleetCenter	10-4
15	November 29	Toronto Raptors	L 95-98	FleetCenter	10-5
