Round	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	Brazilian Grand Prix	Damon Hill	Michael Schumacher	Michael Schumacher	Benetton - Renault	Report
2	Argentine Grand Prix	David Coulthard	Michael Schumacher	Damon Hill	Williams - Renault	Report
3	San Marino Grand Prix	Michael Schumacher	Gerhard Berger	Damon Hill	Williams - Renault	Report
4	Spanish Grand Prix	Michael Schumacher	Damon Hill	Michael Schumacher	Benetton - Renault	Report
5	Monaco Grand Prix	Damon Hill	Jean Alesi	Michael Schumacher	Benetton - Renault	Report
6	Canadian Grand Prix	Michael Schumacher	Michael Schumacher	Jean Alesi	Ferrari	Report
7	French Grand Prix	Damon Hill	Michael Schumacher	Michael Schumacher	Benetton - Renault	Report
8	British Grand Prix	Damon Hill	Damon Hill	Johnny Herbert	Benetton - Renault	Report
9	German Grand Prix	Damon Hill	Michael Schumacher	Michael Schumacher	Benetton - Renault	Report
10	Hungarian Grand Prix	Damon Hill	Damon Hill	Damon Hill	Williams - Renault	Report
11	Belgian Grand Prix	Gerhard Berger	David Coulthard	Michael Schumacher	Benetton - Renault	Report
12	Italian Grand Prix	David Coulthard	Gerhard Berger	Johnny Herbert	Benetton - Renault	Report
13	Portuguese Grand Prix	David Coulthard	David Coulthard	David Coulthard	Williams - Renault	Report
14	European Grand Prix	David Coulthard	Michael Schumacher	Michael Schumacher	Benetton - Renault	Report
15	Pacific Grand Prix	David Coulthard	Michael Schumacher	Michael Schumacher	Benetton - Renault	Report
16	Japanese Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Benetton - Renault	Report
17	Australian Grand Prix	Damon Hill	Damon Hill	Damon Hill	Williams - Renault	Report
