Week	Date	Opponent	Result	Attendance
1	September 3, 1995	Cleveland Browns	W 17–14	60,126
2	September 10, 1995	Miami Dolphins	L 20–3	60,239
3	September 17, 1995	at San Francisco 49ers	L 28–3	66,179
4	Bye	Bye	Bye	Bye
5	October 1, 1995	at Atlanta Falcons	L 30–17	47,114
6	October 8, 1995	Denver Broncos	L 37–3	60,074
7	October 15, 1995	at Kansas City Chiefs	L 31–26	77,992
8	October 23, 1995	Buffalo Bills	W 27–14	60,203
9	October 29, 1995	Carolina Panthers	L 20–17	60,064
10	November 5, 1995	at New York Jets	W 20–7	61,462
11	November 12, 1995	at Miami Dolphins	W 34–17	70,399
12	November 19, 1995	Indianapolis Colts	L 24–10	59,544
13	November 26, 1995	at Buffalo Bills	W 35–25	69,384
14	December 3, 1995	New Orleans Saints	L 31–17	59,876
15	December 10, 1995	New York Jets	W 31–28	46,617
16	December 16, 1995	at Pittsburgh Steelers	L 41–27	57,158
17	December 23, 1995	at Indianapolis Colts	L 10–7	54,685
