Pick	Round	Player	Position	School
44	Round 2	Courtney Hawkins	Wide Receiver	Michigan State
59	Round 3	Mark Wheeler	Defensive Tackle	Texas A&M
79	Round 3	Tyji Armstrong	Tight End	Mississippi
86	Round 4	Craig Erickson	Quarterback	Miami
118	Round 5	Rogerick Green	Defensive Back	Kansas State
132	Round 5	Santana Dotson	Defensive End	Baylor
148	Round 6	James Malone	Linebacker	UCLA
184	Round 7	Ken Swilling	Defensive Back	Georgia Tech
200	Round 8	Anthony McDowell	Running Back	Texas Tech
222	Round 8	Mike Pawlawski	Quarterback	California
254	Round 10	Elijah Alexander	Linebacker	Kansas State
284	Round 11	Mazio Royster	Running Back	USC
311	Round 12	Klaus Wilmsmeyer	Punter	Louisville
