Week	Date	Opponent	Result	attendance
1	September 4, 1966	Buffalo Bills	W 27–7	27,572
2	September 10, 1966	Boston Patriots	W 24–0	29,539
3	September 25, 1966	at Oakland Raiders	W 29–20	37,183
4	October 2, 1966	Miami Dolphins	W 44–10	26,444
5	October 8, 1966	at New York Jets	L 17–16	63,497
6	October 16, 1966	at Buffalo Bills	T 17–17	45,169
7	October 23, 1966	at Boston Patriots	W 35–17	32,371
8	October 30, 1966	Denver Broncos	W 24–17	25,819
9	November 6, 1966	at Kansas City Chiefs	L 24–14	40,986
10	November 13, 1966	Oakland Raiders	L 41–19	26,230
11	November 27, 1966	at Denver Broncos	L 20–17	24,860
12	December 4, 1966	at Houston Oilers	W 28–22	17,569
13	December 11, 1966	New York Jets	W 42–27	25,712
14	December 18, 1966	Kansas City Chiefs	L 27–17	28,548
