Name	Years	Gender	Area	Authority	Decile	Roll
Abbotsford School	1–8	Coed	Green Island	State	7	278
Amana Christian School	1–8	Coed	Mosgiel	Private	7	27
Andersons Bay School	1–6	Coed	Andersons Bay	State	10	268
Arthur Street School	1–8	Coed	City Rise	State	8	134
Balaclava School	1–6	Coed	Balaclava	State	8	241
Balmacewen Intermediate	7–8	Coed	Wakari	State	9	482
Bathgate Park School	1–8	Coed	South Dunedin	State	3	195
Bayfield High School	9–13	Coed	Musselburgh	State	8	576
Big Rock Primary School	1–8	Coed	Brighton	State	5	81
Bradford School	1–6	Coed	Bradford	State	4	89
Broad Bay School	1–8	Coed	Broad Bay	State	9	45
Brockville School	1–8	Coed	Brockville	State	2	161
Carisbrook School	1–8	Coed	Caversham	State	2	337
Columba College	1–15	Coed/Girls	Roslyn	State integrated	10	657
Concord School	1–6	Coed	Concord	State	3	81
Dunedin North Intermediate	7–8	Coed	Dunedin North	State	6	212
Dunedin Rudolf Steiner School	1–8	Coed	Maia	State integrated	7	40
East Taieri School	1–6	Coed	Mosgiel	State	9	288
Elmgrove School	1–6	Coed	Mosgiel	State	6	277
Fairfield School	1–8	Coed	Fairfield	State	10	412
George Street Normal School	1–6	Coed	Dunedin North	State	9	430
Grants Braes School	1–6	Coed	Waverley	State	10	171
Green Island School	1–8	Coed	Green Island	State	4	195
Halfway Bush School	1–6	Coed	Halfway Bush	State	4	53
John McGlashan College	7–15	Boys	Maori Hill	State integrated	10	524
Kaikorai School	1–6	Coed	Roslyn	State	9	301
Kaikorai Valley College	7–15	Coed	Kaikorai	State	5	556
Karitane School	1–6	Coed	Karitane	State	8	33
Kavanagh College	7–15	Coed	City Rise	State integrated	8	833
King's High School	9–15	Boys	South Dunedin	State	6	878
Lee Stream School	1–8	Coed	Lee Stream	State	6	27
Liberton Christian School	1–8	Coed	Pine Hill	State integrated	8	80
Logan Park High School	9–15	Coed	Dunedin North	State	7	605
Macandrew Bay School	1–6	Coed	Macandrew Bay	State	10	155
Maori Hill School	1–6	Coed	Maori Hill	State	10	232
Mornington School	1–6	Coed	Mornington	State	8	262
Musselburgh School	1–6	Coed	Musselburgh	State	5	182
North East Valley Normal School	1–6	Coed	North East Valley	State	6	154
Opoho School	1–6	Coed	Opoho	State	9	145
Otago Boys' High School	9–15	Boys	Dunedin	State	9	855
Otago Girls' High School	9–15	Girls	Dunedin	State	9	795
Outram School	1–8	Coed	Outram	State	9	234
Pine Hill School	1–6	Coed	Pine Hill	State	3	33
Port Chalmers School	1–8	Coed	Port Chalmers	State	5	123
Portobello School	1–8	Coed	Portobello	State	8	100
Purakanui School	1–8	Coed	Port Chalmers	State	6	14
Queen's High School	9–15	Girls	South Dunedin	State	5	416
Ravensbourne School	1–6	Coed	Ravensbourne	State	6	31
Sacred Heart School	1–6	Coed	North East Valley	State integrated	7	57
Sara Cohen School	–	Coed	Caversham	State	7	26
Sawyers Bay School	1–6	Coed	Sawyers Bay	State	7	81
Silverstream (South) Primary School	1–6	Coed	Mosgiel	State	4	318
St Bernadette's School	1–6	Coed	Forbury	State integrated	5	143
St Brigid's School	1–6	Coed	Tainui	State integrated	10	109
St Clair School	1–6	Coed	Saint Clair	State	6	414
St Francis Xavier School	1–6	Coed	Mornington	State integrated	8	110
St. Hilda's Collegiate School	7–15	Girls	Dunedin	State integrated	10	469
St Joseph's Cathedral School	1–6	Coed	City Rise	State integrated	8	137
St Joseph's School	1–8	Coed	Port Chalmers	State integrated	7	32
St Leonard's School	1–6	Coed	Saint Leonards	State integrated	10	66
St Mary's School (Dunedin)	1–6	Coed	Wakari	State integrated	6	27
St Mary's School (Mosgiel)	1–8	Coed	Mosgiel	State integrated	8	133
St Peter Chanel School	1–8	Coed	Green Island	State integrated	8	65
Strath Taieri School	1–8	Coed	Strath Taieri	State	6	54
Tahuna Normal Intermediate School	7–8	Coed	Musselburgh	State	8	459
Taieri College	7–15	Coed	Mosgiel	State	6	956
Tainui School	1–6	Coed	Tainui	State	8	273
TKKM o Otepoti	1–8	Coed	Fairfield	State	3	18
Waikouaiti School	1–6	Coed	Waikouaiti	State	7	71
Waitati School	1–8	Coed	Waitati	State	9	52
Wakari School	1–6	Coed	Wakari	State	8	263
Warrington School	1–8	Coed	Warrington	State	9	41
