Season	Level	Division	Section	Position
1932-33	Tier 3	Division 3	Västsvenska	7th
1933-34	Tier 3	Division 3	Västsvenska	6th
1934-35	Tier 3	Division 3	Västsvenska Norra	7th
1935-36	Tier 3	Division 3	Västsvenska Norra	6th
1936-37	Tier 3	Division 3	Västsvenska Norra	7th
1937-38	Tier 3	Division 3	Västsvenska Norra	6th
1938-39	Tier 3	Division 3	Västsvenska Norra	7th
1939-40	Tier 3	Division 3	Västsvenska Norra	9th
1940-41	Tier 3	Division 3	Västsvenska Södra	3rd
1941-42	Tier 3	Division 3	Västsvenska Södra, Bohus	2nd
1942-43	Tier 3	Division 3	Västsvenska Södra, Bohus	1st
1943-44	Tier 2	Division 2	Västra	9th
1944-45	Tier 3	Division 3	Västsvenska Södra, Bohus	1st
1945-46	Tier 3	Division 3	Västsvenska Södra, Bohus	4th
1946-47	Tier 3	Division 3	Västsvenska Södra	8th
