District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	Jesse M. Combs	Democratic	1944	Re-elected	Jesse M. Combs (D) 93.3% Don Parker (R) 6.7%
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) Unopposed
Texas 7	Tom Pickett	Democratic	1944	Re-elected	Tom Pickett (D) Unopposed
Texas 9	Clark W. Thompson	Democratic	1947	Re-elected	Clark W. Thompson (D) Unopposed
Texas 10	Lyndon B. Johnson	Democratic	1937	Retired to run for U.S. Senate Democratic hold	Homer Thornberry (D) Unopposed
Texas 13	Ed Gossett	Democratic	1938	Re-elected	Ed Gossett (D) Unopposed
Texas 15	Milton H. West	Democratic	1933	Retired Democratic hold	Lloyd Bentsen (D) Unopposed
Texas 17	Omar Burleson	Democratic	1946	Re-elected	Omar Burleson (D) Unopposed
Texas 18	Eugene Worley	Democratic	1940	Re-elected	Eugene Worley (D) 88.7% J. Evetts Haley (R) 11.3%
Texas 20	Paul J. Kilday	Democratic	1938	Re-elected	Paul J. Kilday (D) 75.3% J. P. Ledvina (R) 24.7%
