Year	Entrant	Chassis	Engine	Pts.
1950	Horschell Racing Corporation	Cooper T12	JAP V-twin	0
1950	Ecurie Bleue	Talbot-Lago T26C	Talbot L6	0
1951	Enrico Platé	Maserati 4CLT/48	Maserati L4 C	0
1952	Enrico Platé	Maserati 4CLT/50	Platé L4	0
1953	Equipe Gordini	Gordini T16	Gordini L6	0
1954	Harry Schell	Maserati A6GCM	Maserati L6	0
1954	Harry Schell	Maserati 250F	Maserati L6	0
1954	Officine Alfieri Maserati	Maserati 250F	Maserati L6	0
1955	Officine Alfieri Maserati	Maserati 250F	Maserati L6	0
1955	Scuderia Ferrari	Ferrari 555	Ferrari L4	0
1955	Vandervell Products Ltd.	Vanwall	Vanwall L4	0
1956	Vandervell Products Ltd.	Vanwall	Vanwall L4	3
1956	Scuderia Centro Sud	Maserati 250F	Maserati L6	3
1957	Scuderia Centro Sud	Maserati 250F	Maserati L6	10
1957	Officine Alfieri Maserati	Maserati 250F	Maserati L6	10
1958	Joakim Bonnier Racing Team	Maserati 250F	Maserati L6	14
1958	Owen Racing Organisation	BRM P25	BRM L4	14
1959	Owen Racing Organisation	BRM P25	BRM L4	5
1959	Ecurie Bleue	Cooper T51	Climax L4	5
1960	Ecurie Bleue	Cooper T51	Climax L4	0
