Rank	Incorporated place	Metropolitan area	State	Population (2010 census)	Land area (mi 2 )	Population density (people per mi 2 )
1	Guttenberg	New York City	New Jersey	11176	0.19	58,821
2	Union City	New York City	New Jersey	66455	1.27	52,326.7
3	West New York	New York City	New Jersey	49708	1.02	48,733.3
4	Hoboken	New York City	New Jersey	50005	1.28	39,066.4
5	Kaser	New York City	New York	4724	0.17	27788.2
6	New York City	New York City	New York	8175133	303.31	26,953
7	Cliffside Park	New York City	New Jersey	23594	0.96	24,577.1
8	East Newark	New York City	New Jersey	2406	0.10	24060
9	Maywood	Los Angeles	California	27395	1.18	23,216.1
10	Passaic	New York City	New Jersey	69781	3.11	22,437.6
11	Great Neck Plaza	New York City	New York	6707	0.31	21,635.4
12	North Bay Village	Miami	Florida	7137	0.33	21,627.2
13	Cudahy	Los Angeles	California	23805	1.12	21,254.4
14	Huntington Park	Los Angeles	California	58114	3.03	19179.5
15	Somerville	Boston	Massachusetts	75754	4.11	18,431.6
16	West Hollywood	Los Angeles	California	34399	1.88	18297.3
17	Irvington	New York City	New Jersey	53926	2.96	18,218.2
18	Poplar Hills	Louisville	Kentucky	362	0.02	18100.0
19	Paterson	New York City	New Jersey	146199	8.44	17322.2
20	San Francisco	San Francisco	California	805235	46.69	17246.4
21	Bell Gardens	Los Angeles	California	42072	2.49	16896
22	Sweetwater	Miami	Florida	13499	0.82	16461.2
23	East Orange	New York City	New Jersey	64270	3.93	16,377.1
24	Central Falls	Providence	Rhode Island	19376	1.29	16146.7
25	Jersey City	New York City	New Jersey	240055	14.92	16093.7
26	Chelsea	Boston	Massachusetts	35080	2.19	16036.8
27	Lawndale	Los Angeles	California	31711	1.98	16036.7
28	Weehawken	New York City	New Jersey	13501	0.85	15891.3
29	South Floral Park	New York City	New York	1578	0.10	15776.3
30	Cambridge	Boston	Massachusetts	101355	6.43	15766.1
31	Mount Vernon	New York City	New York	68381	4.36	15689.3
32	Fairview	New York City	New Jersey	13255	0.85	15585.5
33	Long Beach	New York City	New York	33275	2.14	15549
34	Hawaiian Gardens	Los Angeles	California	14779	0.96	15389.5
35	Stone Park	Chicago	Illinois	5127	0.33	15378.2
36	Hempstead	New York City	New York	56554	3.68	15366.1
37	Sunny Isles Beach	Miami	Florida	15315	1.01	15231.1
38	Orange	New York City	New Jersey	32868	2.21	14903.7
39	Bell	Los Angeles	California	36664	2.48	14802.5
40	Cicero	Chicago	Illinois	85616	5.85	14645.2
41	Lynwood	Los Angeles	California	69845	4.85	14389.2
42	Palisades Park	New York City	New Jersey	17073	1.21	14112.4
43	Fort Lee	New York City	New Jersey	35461	2.53	14001.7
44	Garfield	New York City	New Jersey	29786	2.13	13976.0
45	Hawthorne	Los Angeles	California	84112	6.06	13879.4
46	Berwyn	Chicago	Illinois	54016	3.89	13876.2
47	Bay Harbor Islands	Miami	Florida	5146	0.37	13875.4
48	Millbourne	Philadelphia	Pennsylvania	943	0.07	13749.1
49	Daly City	San Francisco	California	103621	7.56	13703.8
50	Elmwood Park	Chicago	Illinois	25405	1.91	13328.4
51	Boston	Boston	Massachusetts	645149	48.43	13321.0
52	South Gate	Los Angeles	California	96375	7.37	13084.6
53	Manorhaven	New York City	New York	6138	0.47	13055.6
54	Mount Rainier	Washington, D.C.	Maryland	8498	0.65	13038.5
55	Hermosa Beach	Los Angeles	California	18566	1.43	12982.4
56	Woodlynne	Philadelphia	New Jersey	2796	0.22	12939.4
57	Island Park	New York City	New York	4732	0.37	12865.7
58	New Square	New York City	New York	4624	0.36	12811.8
59	Chicago	Chicago	Illinois	2695598	227.13	11868
60	Pennsbury Village	Pittsburgh	Pennsylvania	738	0.06	12710.3
61	Darby	Philadelphia	Pennsylvania	10299	0.82	12624.5
62	Dormont	Pittsburgh	Pennsylvania	9305	0.74	12563.3
63	East Lansdowne	Philadelphia	Pennsylvania	2586	0.21	12517.6
64	Miami Beach	Miami	Florida	87933	7.03	12502.1
65	Santa Ana	Los Angeles	California	337977	27.14	12451.9
66	Inglewood	Los Angeles	California	112580	9.14	12323.6
67	Bellerose	New York City	New York	1173	0.10	12207.3
68	El Monte	Los Angeles	California	115965	9.55	12139.5
69	Spring Valley	New York City	New York	25464	2.10	12122.7
70	Prospect Park	New York City	New Jersey	5779	0.48	12043.7
71	Bellflower	Los Angeles	California	72878	6.07	11999.5
72	Stanton	Los Angeles	California	37403	3.12	11971.0
73	Kiryas Joel	New York City	New York	13138	1.10	11962.2
74	Mobile City	Dallas	Texas	196	0.02	11911.3
75	Asbury Park	New York City	New Jersey	16930	1.43	11842.0
76	Port Chester	New York City	New York	27867	2.36	11824.7
77	Harrison	New York City	New Jersey	14424	1.22	11811.1
78	Hialeah	Miami	Florida	226419	19.24	11767.3
79	La Puente	Los Angeles	California	41063	3.49	11757.3
80	San Pablo	San Francisco	California	30215	2.58	11726.9
81	Mount Oliver	Pittsburgh	Pennsylvania	3970	0.34	11720.0
82	Paramount	Los Angeles	California	55266	4.73	11678.3
83	Floral Park	New York City	New York	15967	1.37	11635.9
84	Wallington	New York City	New Jersey	11583	1.00	11632.5
85	Shrewsbury	New York City	New Jersey	1098	0.09	11624.7
86	East Palo Alto	San Francisco	California	29506	2.55	11585.5
87	Williston Park	New York City	New York	7261	0.63	11564.8
88	Newark	New York City	New Jersey	273546	23.80	11495.0
89	Kenmore	Buffalo	New York	16426	1.44	11437.2
90	Baldwin Park	Los Angeles	California	75837	6.66	11379.2
91	New Hyde Park	New York City	New York	9523	0.84	11281.8
92	Alhambra	Los Angeles	California	85804	7.62	11257.3
93	Everett	Boston	Massachusetts	38037	3.38	11241.1
94	Philadelphia	Philadelphia	Pennsylvania	1517550	135.09	11233.6
95	North Bergen	New York City	New Jersey	58092	5.20	11179.6
96	Oak Park	Chicago	Illinois	52524	4.70	11173.4
97	Trenton	New York City	New Jersey	85403	7.66	11153.6
98	Malden	Boston	Massachusetts	56340	5.07	11102.9
99	Johnson City	Portland	Oregon	634	0.06	11061.5
100	Bayonne	New York City	New Jersey	61842	5.63	10992.2
101	Hamtramck	Detroit	Michigan	22976	2.11	10900.5
102	Parkside	Philadelphia	Pennsylvania	2267	0.21	10897.8
103	Clifton Heights	Philadelphia	Pennsylvania	6779	0.62	10882.5
104	Roselle Park	New York City	New Jersey	13281	1.22	10855.7
105	Yonkers	New York City	New York	196086	18.08	10847.5
106	Bogota	New York City	New Jersey	8249	0.76	10841.3
107	Berkeley	San Francisco	California	112580	10.47	10752.6
108	Belleville	New York City	New Jersey	35928	3.34	10744.3
109	Norwalk	Los Angeles	California	103298	9.68	10667.6
110	Lodi	New York City	New Jersey	23971	2.26	10590.6
111	Victory Gardens	New York City	New Jersey	1546	0.15	10582.6
112	Lomita	Los Angeles	California	20046	1.90	10572.7
113	Valley Stream	New York City	New York	36368	3.44	10569.5
114	Rosemead	Los Angeles	California	53505	5.15	10398.3
115	Upper Darby	Philadelphia	Pennsylvania	81821	7.87	10397.7
116	Albany	San Francisco	California	18539	1.79	10368.6
117	Hackensack	New York City	New Jersey	42677	4.12	10358.3
118	Lawrence	Boston	Massachusetts	72043	6.96	10351.4
119	Mineola	New York City	New York	19234	1.86	10337.3
120	Lakewood	Cleveland	Ohio	56646	5.55	10208.5
121	Tuckahoe	New York City	New York	6211	0.61	10188.8
122	East Rockaway	New York City	New York	10414	1.02	10187.6
123	Santa Monica	Los Angeles	California	84084	8.26	10178.7
124	Miami	Miami	Florida	362470	35.67	10160.9
125	Artesia	Los Angeles	California	16380	1.62	10126.1
126	Harwood Heights	Chicago	Illinois	8297	0.82	10094.4
