College Name	Location	District	Affiliation	Estd
Thanjavur Medical College	Thanjavur	Thanjavur district	Tamil Nadu Dr. M.G.R. Medical University	1958
Madras Medical College and Research Institute	Park Town , Chennai	Chennai district	Tamil Nadu Dr. M.G.R. Medical University	1835
Stanley Medical College	Royapuram , Chennai	Chennai district	Tamil Nadu Dr. M.G.R. Medical University	1938
Government Kilpauk Medical College	Chetput (Chennai) Chennai	Chennai district	Tamil Nadu Dr. M.G.R. Medical University	1960
Chengalpattu Medical College	Chengalpattu	Kanchipuram district	Tamil Nadu Dr. M.G.R. Medical University	1965
Madurai Medical College	Madurai	Madurai district	Tamil Nadu Dr. M.G.R. Medical University	1954
Coimbatore Medical College	Coimbatore	Coimbatore	Tamil Nadu Dr. M.G.R. Medical University	1966
Tirunelveli Medical College	Tirunelveli	Tirunelveli district	Tamil Nadu Dr. M.G.R. Medical University	July 1966
Mohan Kumaramangalam Medical College	Salem, Tamil Nadu	Salem district	Tamil Nadu Dr. M.G.R. Medical University	1990
K.A.P.Viswanatham Government Medical College	Tiruchirappalli Tamil Nadu	Tiruchirappalli district	Tamil Nadu Dr. M.G.R. Medical University	1929
Thoothukudi Medical College	Thoothukudi	Thoothukudi	Tamil Nadu Dr. M.G.R. Medical University	1982
Government Vellore Medical College	Bagayam	Vellore	Tamil Nadu Dr. M.G.R. Medical University	2005
Kanyakumari Government Medical College	Kanniyakumari	Kanniyakumari	Tamil Nadu Dr. M.G.R. Medical University	1965
Government Theni Medical College	Theni	Theni	Tamil Nadu Dr. M.G.R. Medical University	2006
Government Dharmapuri Medical College	Coimbatore	Coimbatore	Tamil Nadu Dr. M.G.R. Medical University	1982
Government Villupuram Medical College	Villupuram	Villupuram	Tamil Nadu Dr. M.G.R. Medical University	1965
Government Thiruvarur Medical College	Thiruvarur	Thiruvarur	Tamil Nadu Dr. M.G.R. Medical University	2007
Government Sivgangai Medical College	Sivgangai	Sivgangai	Tamil Nadu Dr. M.G.R. Medical University	Proposed
