Place	Player	Country	Score	To par	Money ( $ )
1	Johnny Miller	United States	71-69-76-63=279	–5	35,000
2	John Schlee	United States	73-70-67-70=280	–4	18,000
3	Tom Weiskopf	United States	73-69-69-70=281	–3	13,000
T4	Jack Nicklaus	United States	71-69-74-68=282	–2	9,000
T4	Arnold Palmer	United States	71-71-68-72=282	–2	9,000
T4	Lee Trevino	United States	70-72-70-70=282	–2	9,000
T7	Julius Boros	United States	73-69-68-73=283	–1	6,000
T7	Jerry Heard	United States	74-70-66-73=283	–1	6,000
T7	Lanny Wadkins	United States	74-69-75-65=283	–1	6,000
10	Jim Colbert	United States	70-68-74-72=284	E	4,000
