Name	Number	Position	Height	Weight	Year	Hometown
Adam Ahlfeld	34	G	6–0	193	Senior	Indianapolis, Indiana
Armon Bassett	1	G	6–1	176	Sophomore	Terre Haute, Indiana
Jordan Crawford	5	G	6–4	195	Freshman	Detroit, Michigan
Jamarcus Ellis	13	G	6–5	200	Junior	Chicago, Illinois
Brett Finkelmeier	4	G	6–2	180	Freshman	Carmel, Indiana
Eric Gordon	23	G	6–4	215	Freshman	Indianapolis, Indiana
Eli Holman	32	C	6–9	210	Freshman	Richmond, California
Brandon McGee	24	F	6–7	220	Freshman	Chicago, Illinois
Lance Stemler	22	F	6–8	210	Senior	Columbia, Illinois
Kyle Taber	44	F	6–7	226	Junior	Evansville, Indiana
DeAndre Thomas	2	F	6–8	295	Junior	Chicago, Illinois
D. J. White	3	F	6–9	251	Senior	Tuscaloosa, Alabama
Mike White	30	F	6–6	232	Senior	Springhill, Louisiana
