Round	Date	Country	Circuit	Sprint Winner	Main Winner	Report
1	25 September 2005	United Kingdom	Brands Hatch	Brazil	Brazil	Report
2	9 October 2005	Germany	EuroSpeedway Lausitz	France	France	Report
3	23 October 2005	Portugal	Autódromo do Estoril	France	France	Report
4	6 November 2005	Australia	Eastern Creek Raceway	France	France	Report
5	20 November 2005	Malaysia	Sepang International Circuit	France	France	Report
6	11 December 2005	United Arab Emirates	Dubai Autodrome	Switzerland	France	Report
7	29 January 2006	South Africa	Durban street circuit	France	Netherlands	Report
8	12 February 2006	Indonesia	Sentul International Circuit	France	Canada	Report
9	26 February 2006	Mexico	Parque Fundidora Monterrey	France	France	Report
10	12 March 2006	United States of America	Mazda Raceway Laguna Seca	Mexico	Mexico	Report
