Strong's #	Hebrew word	Strong's Transliteration	Strong's Words Compounded	English Spelling
3470	יְשַׁעְיָה	Y e sha'yah	yasha [# 3467] & Yah	Jeshajah
3470a	יְשַׁעְיָהוּ	Y e sha'yahuw	yasha [# 3467] & Yahu	Jeshajahu
5418	נְתַנְיָה	N e thanyah	nathan [# 5414] & Yah	Nethanjah
5418a	נְתַנְיָהוּ	N e thanyahuw	nathan [# 5414] & Yahu	Nethanjahu
138	אֲדֹנִיָּה	'Adoniyah	'adown [# 113] & Yah	Adonijah
138a	אֲדֹנִיָּהוּ	'Adoniyahuw	'adown [# 113] & Yahu	Adonijahu
452	אֵלִיָּה	'Eliyah	'el [# 410] & Yah	Elijah
452a	אֵלִיָּהוּ	'Eliyahu	'el [# 410] & Yahu	Elijahu
3414	יִרְמְיָה	Yirm e yah	ruwm [# 7311] & yah	Jirmejah
3414a	יִרְמְיָהוּ	Yirm e yahuw	ruwm [# 7311] & yahu	Jirmejahu
5166	נְחֶמְיָה	N e chemyah	nacham [# 5162] & yah	Nechemjah
