Debut year	Player	Date of birth	Games	Goals	Years at club
1950	Ray Jones	17 February 1924	2	0	1950
1950	Andy Larkins	30 October 1928	4	4	1950
1950	Neale Rutzou	30 July 1927	2	0	1950
1950	Keith McKee	15 December 1928	6	0	1950
1950	George Goninon	18 April 1927	78	278	1950–1954
1950	Jim Norman	9 January 1928	37	15	1950–1952
1950	Jack Stevens	24 July 1929	11	4	1950–1952
1950	Noel Rayson	24 May 1933	95	210	1950–1958
1951	Bill McMaster	30 January 1930	61	75	1951–1954
1951	Les Reed	16 August 1932	25	3	1951–1953
1951	Loy Stewart	19 May 1927	22	2	1951–1952
1951	Ron Hovey	25 August 1932	141	25	1951–1960
1951	Don G. Scott	16 August 1930	12	4	1951–1952
1951	Peter Pianto	25 November 1929	121	144	1951–1957
1951	Bert Worner	18 September 1929	65	10	1951–1955
1951	Allan Reid	14 December 1926	2	0	1951
1952	Doug Palmer	23 June 1929	57	11	1952–1954
1952	Geoff Williams	18 November 1930	121	1	1952–1959
1952	Merv Richardson	17 May 1929	1	0	1952
1952	Norm Sharp	23 June 1934	88	29	1952–1957
1952	Tony Walsh	30 November 1928	3	4	1952
1952	Sid Smith, Jr.	9 December 1928	23	0	1952–1953
1952	George Swarbrick	12 November 1930	23	8	1952–1953
1952	Peter West	5 March 1931	2	0	1952
1952	Harry Herbert	8 February 1934	56	27	1952–1957
1953	Ivan Baumgartner	5 May 1934	27	3	1953–1955
1953	Bruce Murray	23 February 1933	8	2	1953–1954
1953	John McMahon	12 April 1935	36	11	1953–1955
1953	Les Borrack	25 April 1933	95	15	1953–1960
1953	Jim V. Roberts	19 November 1931	21	3	1953–1956
1953	Don Worland	6 August 1932	4	0	1953
1954	Ken Cameron	31 January 1934	22	0	1954–1956
1954	John O'Neill	30 August 1935	136	20	1954–1962
1954	Maurie Gear	18 November 1934	2	0	1954
1954	Howard Hawking	23 May 1933	11	0	1954–1955
1954	Don O'Hara	15 February 1933	3	0	1954
1954	Bob Wiltshire	24 November 1932	30	12	1954–1957
1954	Bob Gazzard	26 September 1935	71	2	1954–1959
1954	Glen Bow	8 December 1935	14	3	1954–1956
1955	Ken Beardsley	11 March 1935	25	15	1955–1956
1955	Matt Goggin	21 July 1936	88	5	1955–1961
1955	John O'Connell	3 August 1932	81	65	1955–1960
1955	Clive Brown	15 May 1934	72	4	1955–1960
1955	Max Sutcliffe	30 July 1936	24	13	1955–1956
1955	Bruce Ferrari	13 July 1936	58	42	1955–1960
1955	Colin Barton	17 April 1937	38	0	1955, 1957–1959
1955	Geoff Umbers	31 October 1933	7	2	1955–1956
1955	Roger Bullen	18 July 1934	26	22	1955–1957
1955	John Haygarth	13 July 1934	59	13	1955–1959
1956	George McGrath	16 November 1935	71	0	1956, 1958–1962
1956	Fred Wooller	21 October 1938	132	225	1956–1964
1956	Les May	4 June 1934	4	0	1956
1956	Bruce Bartle	21 January 1938	34	26	1956–1959
1956	John Goldsmith	17 June 1931	6	0	1956
1956	Fred Le Deux	12 April 1934	18	0	1956–1958
1956	John Helmer	19 January 1938	50	22	1956–1962
1956	Eric Nicholls	15 October 1939	58	0	1956–1963
1956	Bernie Ryan	8 October 1934	9	4	1956–1957
1957	Ray Harrip	21 October 1935	4	0	1957
1957	Doug Long	28 March 1940	73	52	1957–1961
1957	Ian O'Halloran	4 December 1935	3	0	1957
1957	Bill James	23 March 1937	3	1	1957
1957	Bernie Crowe	28 November 1932	9	3	1957
1957	Martin Bourke	28 May 1936	5	0	1957, 1960
1957	Alan Byron	10 August 1936	25	3	1957–1958, 1960
1957	Reg Fisher	31 August 1932	1	0	1957
1957	John Worland	17 January 1934	4	0	1957
1957	Colin Rice	16 July 1938	97	87	1957–1963
1957	Peter Barran	30 December 1936	5	0	1957
1957	Max Hetherington	11 February 1935	11	4	1957–1958
1957	John Laird	16 August 1935	3	0	1957
1957	Rod West	13 August 1936	3	0	1957
1957	Ron Smith	28 October 1937	10	3	1957–1959
1958	Frank Fitzpatrick	3 February 1932	9	1	1958
1958	Neville Martin	14 August 1936	18	4	1958
1958	Bruce Peake	27 January 1937	25	9	1958–1961
1958	Ross Sutherland	8 April 1937	2	0	1958
1958	John Thomas	6 April 1935	35	8	1958–1960
1958	Terry Mountain	7 July 1935	2	0	1958
1958	Peter Campbell	4 January 1938	6	4	1958
1958	Peter Falconer	28 November 1937	20	16	1958, 1960
1958	Bill Goggin	1 April 1941	248	279	1958–1971
1958	George Finegan	31 March 1935	4	0	1958
1958	Bill Cook	31 May 1937	25	35	1958–1960
1958	Graeme Gross	17 April 1938	2	0	1958
1958	Clif Palmer	1 January 1937	5	1	1958–1959
1958	Barry Cougle	28 May 1938	14	7	1958–1959
1959	Stan Harrison	29 March 1940	15	4	1959–1960, 1962
1959	John Yeates	30 August 1938	86	76	1959–1965
1959	Alistair Lord	4 September 1940	122	79	1959–1966
1959	Gavan Moran	3 April 1936	1	0	1959
1959	Fred Mundy	1 May 1941	4	0	1959
1959	Hugh Earnshaw	5 October 1937	2	0	1959
1959	Frank Pomeroy	27 July 1939	32	29	1959–1962
1959	Greg Major	6 March 1938	28	1	1959–1961
1959	Dale Mather	11 November 1940	12	0	1959–1961
1959	Paul Vinar	24 March 1940	132	45	1959–1966
1959	Ken Goodland	8 March 1940	54	7	1959, 1961–1965
1959	Ron Van T'Hag	7 June 1940	2	0	1959
1959	Alex Perry	29 July 1940	3	0	1959
1959	Hugh Routley	19 June 1940	27	0	1959–1960, 1962–1964
1959	Tony Boulton	6 October 1939	1	0	1959
1959	Ron Murray	31 January 1939	1	0	1959
1959	Brian Sharp	21 December 1939	1	0	1959
