Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 4	@ Chicago	W 120–112 (OT)	Toney Douglas (30)	Amar'e Stoudemire (8)	Raymond Felton (10)	United Center 21,203	2–2
5	November 5	Washington	W 112–91 (OT)	Toney Douglas (19)	Toney Douglas (10)	Raymond Felton (10)	Madison Square Garden 19,763	3–2
6	November 7	Philadelphia	L 96–106 (OT)	Amar'e Stoudemire (21)	Amar'e Stoudemire (15)	Raymond Felton (10)	Madison Square Garden 18,735	3–3
7	November 9	@ Milwaukee	L 80–107 (OT)	Amar'e Stoudemire (19)	Anthony Randolph (9)	Raymond Felton (8)	Bradley Center 13,286	3–4
8	November 10	Golden State	L 117–122 (OT)	Amar'e Stoudemire (33)	Amar'e Stoudemire (10)	Raymond Felton (6)	Madison Square Garden 19,763	3–5
9	November 12	@ Minnesota	L 103–112 (OT)	Danilo Gallinari (25)	Amar'e Stoudemire , Landry Fields (9)	Raymond Felton (8)	Target Center 15,232	3–6
10	November 14	Houston	L 96–104 (OT)	Amar'e Stoudemire (25)	Amar'e Stoudemire (8)	Raymond Felton (5)	Madison Square Garden 19,763	3–7
11	November 16	@ Denver	L 118–120 (OT)	Amar'e Stoudemire (24)	Landry Fields (17)	Raymond Felton (11)	Pepsi Center 15,190	3–8
12	November 17	@ Sacramento	W 113–106 (OT)	Amar'e Stoudemire , Danilo Gallinari (27)	Amar'e Stoudemire (10)	Ronny Turiaf (4)	ARCO Arena 12,817	4–8
13	November 19	@ Golden State	W 125–119 (OT)	Raymond Felton (35)	Amar'e Stoudemire (11)	Raymond Felton (11)	Oracle Arena 19,808	5–8
14	November 20	@ L.A. Clippers	W 124–115 (OT)	Amar'e Stoudemire (39)	Amar'e Stoudemire (11)	Raymond Felton (7)	Staples Center 18,325	6–8
15	November 23	Charlotte	W 110–107 (OT)	Toney Douglas (22)	Landry Fields , Amar'e Stoudemire (7)	Raymond Felton (9)	Madison Square Garden 19,763	7–8
16	November 24	@ Charlotte	W 99–95 (OT)	Raymond Felton (23)	Landry Fields (10)	Raymond Felton (13)	Time Warner Cable Arena 15,588	8–8
17	November 27	Atlanta	L 90–99 (OT)	Amar'e Stoudemire (24)	Landry Fields (11)	Raymond Felton (4)	Madison Square Garden 19,763	8–9
18	November 28	@ Detroit	W 125–116 (2OT)	Amar'e Stoudemire (37)	Amar'e Stoudemire (15)	Raymond Felton (11)	The Palace of Auburn Hills 16,015	9–9
