Date	City	Opponent	Results¹	Type of game
June 25	Zagreb	Norway	4:1	Friendly
July 15	Helsinki , Finland	India	10:1	1952 Summer Olympics
July 20	Helsinki , Finland	Soviet Union	5:5	1952 Summer Olympics
July 22	Tampere , Finland	Soviet Union	3:1	1952 Summer Olympics
July 25	Tampere , Finland	Denmark	5:3	1952 Summer Olympics
July 29	Helsinki , Finland	West Germany	3:1	1952 Summer Olympics
August 2	Helsinki , Finland	Hungary	0:2	1952 Summer Olympics
September 21	Belgrade	Austria	4:2	Friendly
November 2	Belgrade	Egypt	5:0	Friendly
December 21	Ludwigshafen , Germany	West Germany	2:3	Friendly
