No	Player	Height (m)	Height (f)	Position	Year born	Current Club
4	Lucca Staiger	1.96	6' 05"	Guard	1988	Iowa State University
5	Heiko Schaffartzik	1.85	6' 01"	Guard	1984	New Yorker Phantoms
6	Sven Schultze	2.08	6' 10"	Forward	1978	Free Agent
7	Tim Ohlbrecht	2.11	6' 11"	Center	1988	Telekom Baskets Bonn
8	Konrad Wysocki	2.04	6' 08"	Forward	1982	Turów Zgorzelec
9	Steffen Hamann	1.95	6' 05"	Guard	1981	ALBA Berlin
10	Demond Greene	1.86	6' 01"	Guard	1979	Free Agent
11	Tibor Pleiss	2.15	7' 01"	Center	1989	Brose Baskets
12	Elias Harris	2.01	6' 07"	Forward	1989	Gonzaga University
13	Patrick Femerling	2.15	7' 01"	Center	1975	Free Agent
14	Robin Benzing	2.11	6' 11"	Forward	1989	Ratiopharm Ulm
