Team	Location	Years in senior / adult league	2013 BAFA Adult division	2013 BAFA Adult flag division	2013 BAFA Junior division	Other teams
Aberdeen Oilcats	Aberdeen	—	—	Scotland North/East	—	—
Aberdeen Roughnecks	Aberdeen	—	Associate	—	—	—
Aylesbury Vale Spartans	Aylesbury	—	—	Central	—	—
Basingstoke Zombie Horde	Basingstoke	—	—	Southern	—	—
Bedfordshire Blue Raiders *	Bedford	2008–	National East	—	—	—
Berkshire Renegades *	Reading	1985–87, 1989, 2006–	Premier South	—	—	—
Birmingham Bulls *	Birmingham	1984–	Premier North	—	Central	—
Bournemouth Bobcats *	Bournemouth	1986–1991, 2011–	National South	—	—	—
Bristol Apache*	Bristol	2011–	National South	—	—	—
Bristol Aztecs *	Bristol	1991–	Premier South	—	—	—
Burnley Tornadoes	Burnley	—	—	—	—	—
Calderdale Knights	Halifax	—	—	Northern	—	—
Cambridgeshire Cats *	Cambridge	1985–90, 1993–98, 2002–	Premier South	—	South	—
Carluke Cobras	Carluke	—	—	Scotland Central/West	—	—
Chester Romans*	Chester	1987–	National Central	—	—	—
Chichester Sharks	Chichester	—	—	Southern	—	—
Chorley Buccaneers	Chorley	—	—	—	—	Youth flag, Cadet flag
Clyde Valley Blackhawks*	Wishaw	2009–	National North	—	—	—
Colchester Gladiators *	Wivenhoe	1985–95, 2005–	National East	—	South	—
Cornish Sharks *	Newquay	2007–	National South	—	—	—
Coventry Cougars	Coventry	—	—	—	—	Youth flag, Cadet flag
Coventry Jets *	Coventry	1991–93, 2004–	Premier North	Central	Central	Youth flag
Crewe Railroaders	Crewe	1985–90, 2012–	National Central	—	—	—
DC Presidents *	Durham	1985–97, 2012–	National North	—	—	—
Doncaster Mustangs *	Doncaster	2003–	Premier North	—	—	—
Dundee Hurricanes *	Dundee	2003–	National North	Scotland North/East	—	—
East Kent Mavericks *	Aylesham	2006–	Premier South	—	South	—
East Kilbride Pirates *	Hamilton	1986–	Premier North	—	—	—
Edinburgh Outlaws	Edinburgh	—	—	Scotland North/East	—	—
Edinburgh Wolves *	Edinburgh	2003–	National North	Scotland North/East	—	—
Essex Spartans *	Billericay	1999–	National East	—	—	—
Farnham Knights *	Farnborough	1986–	National South	—	—	—
Gateshead Senators *	Gateshead	1986–	National North	—	North	—
Glasgow Hornets	Glasgow	—	—	Scotland Central/West	—	—
Glasgow Tigers *	Glasgow	1986–	National North	—	—	—
Gloucester Centurions *	Gloucester	2009–	National South	—	—	—
Grangemouth Broncos	Grangemouth	—	—	Scotland Central/West	—	—
Hackney Cougars	Hackney	—	—	Southern	—	—
Hamilton Buccaneers	Hamilton	—	—	—	—	—
Highland Wildcats	Inverness	2009–2011	—	—	North	—
Horsham Buccaneers	Horsham	—	—	—	—	Youth flag
Inverclyde Phoenix	Greenock	—	—	—	—	—
Ipswich Cardinals *	Ipswich	1987–	Premier South	—	—	—
Kent Exiles*	Sidcup	1991–	National East	—	South	—
Lancashire Wolverines *	Blackburn	1988–2004, 2007–	Premier North	—	North	—
Lanarkshire Longhorns	Wishaw	—	—	—	North	—
Leeds Bobcats	Leeds	—	Associate	—	North	—
Leicester Eagles	Leicester	—	—	Central	—	—
Leicester Falcons *	Leicester	2008–	National Central	—	Central	—
Lincolnshire Bombers *	Sleaford	2007–	National Central	—	—	—
London Blitz *	Finsbury Park	1984–	Premier South	—	South	Youth flag
London Olympians *	Crystal Palace	1984–2007, 2009–	Premier South	—	—	—
London Rebels	Kennington Park	—	—	Southern	—	—
London Warriors *	Boston Manor	2008–	Premier South	—	South	—
Maidstone Pumas *	Maidstone	1998–	National East	—	—	—
Manchester Titans*	Manchester	2003, 2005–	National Central	—	North	—
Marlow Wolves	Marlow	—	—	—	South	Youth flag, Cadet flag
Merseyside Nighthawks *	Birkenhead	1986–	National Central	—	—	—
Milton Keynes Pathfinders *	Bletchley	2008–	National East	—	—	—
Newcastle Blackhawks	Newcastle upon Tyne	—	—	Northern	—	—
Northants Phantoms	Northampton	—	—	Central	—	—
Norwich Devils	Norwich	1986–2011	—	—	—	—
Nottingham Caesars *	Nottingham	1995–	Premier North	—	Central	—
Oxford Saints *	Abingdon	1984–	National South	—	—	—
Peterborough Saxons *	Peterborough	2002–	Premier South	—	—	—
Plymouth Extreme	Plymouth	—	—	Southern	—	—
Reading Lions	Reading	—	—	Central	—	—
Sandwell Steelers	Sandwell	—	Associate	Northern	Central	—
Sheffield Predators*	Sheffield	2010–	Premier North	—	—	—
Sheffield Tomahawks	Sheffield	—	—	—	—	—
Shropshire Revolution *	Telford	2007–	National Central	—	—	—
Solent Thrashers *	Southampton	2005–	National South	—	South	—
South London Renegades	Southwark	—	—	—	South	—
South Wales Warriors *	Llanharan	1996–99, 2001–	Premier South	Southern	—	—
Staffordshire Surge*	Stoke-on-Trent	1994–	National Central	—	—	—
Standish Raiders	Standish	—	—	—	—	—
Steel City Knights	Sheffield	—	—	Northern	—	—
Studley Bearcats	Studley	—	—	—	—	Youth flag, Cadet flag
Sussex Thunder *	Horsham	1997–	Premier South	—	—	—
Swindon Storm*	Swindon	2013–	National South	—	—	—
Tamworth Phoenix *	Tamworth	2008–	Premier North	—	Central	—
Torbay Trojans	Paignton	1984–92, 1997–99	Associate	—	—	—
Watford Cheetahs *	Watford	1987–	National East	—	South	—
West Coast Trojans *	Renfrew	2005–	Premier North	Scotland Central/West	—	—
West Essex Showboats	Epping	—	—	Central	—	—
Woodham Warriors	Woodham, County Durham	—	—	Northern	—	—
Yorkshire Rams *	Leeds	1987–	Premier North	—	—	—
