Rank	Name	City	Height	Floors
1	Kingdom Tower	Jeddah	m (ft)	186
2	Diamond Tower	Jeddah	m (ft)	93
3	Capital Market Authority Headquarters	Riyadh	m (ft)	77
4	Lamar Tower 1	Jeddah	m (ft)	87
5	Burj Rafal	Riyadh	m (ft)	68
6	KAFD World Trade Centre	Riyadh	m (ft)	67
7	Lamar Tower 2	Jeddah	m (ft)	84
8	Kempinski Hotel	Jeddah	m (ft)	69
9	The Headquarters	Jeddah	m (ft)	52
10	Aqua Tower	Jeddah	m (ft)	59
11	GCC Bank Headquarters	Riyadh	m (ft)	53
12	Abraj Al Bait Maqam Tower	Mecca	m (ft)	57
13	Abraj Al Bait Qibla Tower	Mecca	m (ft)	57
14	Al Majdoul Tower	Riyadh	m (ft)	54
15	West Tower at the HQ Business Park	Riyadh	m (ft)	54
