Shooter	Event	Rank points	Score points	Total
Georgios Achilleos ( CYP )	WCF 2007	Defending champion	Defending champion	Defending champion
Vincent Hancock ( USA )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Tore Brovold ( NOR )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Anthony Terras ( FRA )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Ariel Mauricio Flores ( MEX )	WC Kerrville	15	12	27
Qu Ridong ( CHN )	WC Beijing	15	10	25
Andrea Benelli ( ITA )	WC Belgrade	10	13	23
Konstantin Tsuranov ( RUS )	WC Beijing	10	10	20
Jan Sychra ( CZE )	WC Belgrade	5	13	18
Valerio Luchini ( ITA )	WC Kerrville	8	10	18
Leos Hlavacek ( CZE )	WC Suhl	5	11	16
Abdullah Alrashidi ( KUW )	WC Belgrade	3	12	15
