Date	Tournament	Surface	Opponent	Score
September 25, 2000	Kawaguchi [ disambiguation needed ]	Hard	Leigh Holland	6–1, 6–2
January 8, 2001	Jorhat	Clay	Fabio Maggi	7–6, 7–5
October 8, 2001	Santo Domingo	Clay	José de Armas	6–4, 6–0
January 21, 2002	Dubai	Hard	Jaroslav Levinský	W/O
August 25, 2003	Enschede	Clay	Robert Lindstedt	6–3, 3–6, 6–3
November 1, 2004	Bangkok	Hard	Ruben de Kleijn	6–4, 6–0
June 27, 2005	Heerhugowaard	Clay	Nicolas Todero	6–4, 6–2
July 4, 2005	Kassel	Clay	Sascha Kloer	6–2, 6–1
September 3, 2007	Düsseldorf	Clay	Andreas Haider-Maurer	6–7, 6–2, 6–4
November 5, 2007	Eckental	Carpet	Roko Karanušić	W/O
November 3, 2008	Eckental	Carpet	Roko Karanušić	6–2, 7–5
May 23, 2010	Cremona	Hard	Marius Copil	6–4, 7–5
July 5, 2010	Scheveningen	Clay	Thomas Schoorel	7–5, 6–4
July 19, 2010	Poznań	Clay	Andrey Kuznetsov	6–1, 6–2
