Heat	Lane	Name	Nationality	Time
3	4	Elizabeth Beisel	United States	4:34.55
5	4	Katie Hoff	United States	4:34.63
3	5	Alessia Filippi	Italy	4:35.11
4	4	Stephanie Rice	Australia	4:35.11
3	3	Yana Martynova	Russia	4:36.25
4	3	Li Xuanxu	China	4:36.35
4	5	Kirsty Coventry	Zimbabwe	4:36.43
5	5	Hannah Miley	Great Britain	4:36.56
4	7	Katarzyna Baranowska	Poland	4:36.95
4	1	Kathryn Meaklim	South Africa	4:37.11
3	7	Maiko Fujino	Japan	4:37.35
5	3	Katinka Hosszú	Hungary	4:37.55
5	2	Zsuzsanna Jakabos	Hungary	4:37.86
5	7	Mireia Belmonte García	Spain	4:37.91
3	6	Keri-Anne Payne	Great Britain	4:38.69
5	8	Anja Klinar	Slovenia	4:38.90
2	3	Joanna Melo	Brazil	4:40.18
2	7	Sara Nordenstam	Norway	4:40.28
4	6	Camille Muffat	France	4:40.29
3	8	Tanya Hunks	Canada	4:40.63
5	1	Jessica Pengelly	South Africa	4:41.04
3	1	Samantha Hamill	Australia	4:41.89
5	6	Joanne Andraca	France	4:43.88
3	2	Helen Norfolk	New Zealand	4:44.22
2	5	Liu Jing	China	4:44.96
2	1	Jördis Steinegger	Austria	4:45.15
4	2	Saori Haruguchi	Japan	4:45.22
1	3	Nam Yoo-Sun	South Korea	4:46.74
4	8	Alexa Komarnycky	Canada	4:46.98
2	8	Susana Escobar	Mexico	4:47.32
2	6	Svetlana Karpeeva	Russia	4:50.22
1	6	Quah Ting Wen	Singapore	4:51.25
2	2	Katharina Schiller	Germany	4:51.52
1	4	Lew Yih Wey	Malaysia	4:55.83
1	5	Anna-Liisa Põld	Estonia	4:58.21
2	4	Georgina Bardach	Argentina	5:00.87
1	7	Nimitta Thaveesupsoonthorn	Thailand	5:02.18
1	2	Maroua Mathlouthi	Tunisia	DNS
