Rank	Title	Studio	Director(s)	Worldwide Gross
1.	The Lord of the Rings: The Two Towers	New Line Cinema	Peter Jackson	$925,282,504
2.	Harry Potter and the Chamber of Secrets	Warner Bros.	Chris Columbus	$878,643,482
3.	Spider-Man	Columbia Pictures	Sam Raimi	$821,708,551
4.	Star Wars Episode II: Attack of the Clones	20th Century Fox / Lucasfilm	George Lucas	$649,398,328
5.	Men in Black II	Columbia Pictures	Barry Sonnenfeld	$441,818,803
6.	Die Another Day	MGM	Lee Tamahori	$431,971,116
7.	Signs	Touchstone Pictures / Blinding Edge	M. Night Shyamalan	$408,247,917
8.	Ice Age	20th Century Fox / Blue Sky Studios	Chris Wedge	$383,257,136
9.	My Big Fat Greek Wedding	IFC Films	Joel Zwick	$368,744,044
10.	Minority Report	DreamWorks / 20th Century Fox	Steven Spielberg	$358,372,926
11.	Catch Me If You Can	DreamWorks / Amblin Entertainment	Steven Spielberg	$352,114,312
12.	Chicago	Miramax Films	Rob Marshall	$306,776,732
13.	Austin Powers in Goldmember	New Line Cinema	Jay Roach	$296,655,431
14.	xXx	Columbia Pictures	Rob Cohen	$277,448,382
15.	Scooby-Doo	Warner Bros.	Raja Gosnell	$275,650,703
16.	Spirited Away	Studio Ghibli / Walt Disney Pictures	Hayao Miyazaki	$274,925,095
17.	Lilo & Stitch	Walt Disney Pictures	Chris Sanders and Dean DeBlois	$273,144,151
18.	The Ring	DreamWorks	Gore Verbinski	$249,348,933
19.	8 Mile	Universal Studios / Imagine Entertainment	Curtis Hanson	$242,875,078
20.	The Bourne Identity	Universal Pictures	Doug Liman	$214,034,224
