Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	12-6	James Wood	Decision (unanimous)	Victory Fighting Championship 38	5	5:00	Ralston, Nebraska , United States
Win	12-5	Mark Stoddard	Submission (shoulder choke)	MCC 43 - High Octane	1	2:52	Des Moines , Iowa , United States
Win	11-5	Mason Temiquel	Submission (rear-naked choke)	MCC 42 - Lund vs. Schmauss	1	3:16	Des Moines , Iowa , United States
Win	10-5	Eddie Larrea	Submission (rear-naked choke)	MCC 37 - Thanksgiving Throwdown	1	1:09	Des Moines , Iowa , United States
Loss	9-5	Koffi Adzitso	KO (punches)	ZarMMA - Fight Night	1	1:54	Layton, Utah , United States
Win	9-4	Kalel Robinson	Submission (arm-triangle choke)	Midwest Cage Championships 28: Impact	1	3:18	Des Moines, Iowa , United States
Win	8-4	Sean Huffman	Decision (unanimous)	Midwest Cage Championships 25: Inferno	3	5:00	Des Moines, Iowa , United States
Loss	7-4	TJ Grant	TKO (punches)	UFC 107	1	4:57	Memphis, Tennessee , United States
Loss	7-3	Chris Lytle	Decision (unanimous)	TUF 9 Finale	3	5:00	Las Vegas, Nevada , United States
Loss	7-2	Anthony Johnson	KO (head kick)	TUF 8 Finale	3	0:28	Las Vegas, Nevada , United States
Win	7-1	Anthony Johnson	TKO (eye injury)	UFC: Silva vs. Irvin	3	3:45	Las Vegas, Nevada , United States
Win	6-1	Roan Carneiro	Submission (triangle choke)	UFC 85	2	2:53	London , England
Win	5-1	Bobby Voelker	KO (punch)	VFC 23: Validation	1	0:30	Council Bluffs, Iowa , United States
Win	4-1	Steve Schneider	Submission (triangle choke)	Glory Fighting Championships	2	4:13	Des Moines, Iowa , United States
Win	3-1	Sean Westbrook	Submission (rear naked choke)	GFC 1: Genesis	1	3:22	Des Moines, Iowa , United States
Loss	2-1	Jason High	TKO (doctor stoppage)	VFC 18: Hitmen	2	5:00	Council Bluffs, Iowa , United States
Win	2-0	Matt Delanoit	Submission (armbar)	VFC 17: Predators	1	3:29	Council Bluffs, Iowa , United States
Win	1-0	Demi Deeds	TKO (punches)	Greensparks: Full Contact Fighting 1	1	3:58	Clive, Iowa , United States
