Place	Player	Country	Score	To par
1	Chris DiMarco	United States	65-69=134	–10
T2	Phil Mickelson	United States	67-69=136	–8
T2	Tiger Woods	United States	70-66=136	–8
T4	Ángel Cabrera	Argentina	66-71=137	–7
T4	David Duval	United States	71-66=137	–7
T4	Toshimitsu Izawa	Japan	71-66=137	–7
T4	Lee Janzen	United States	67-70=137	–7
T4	Steve Stricker	United States	66-71=137	–7
T9	Mark Calcavecchia	United States	72-66=138	–6
T9	José María Olazábal	Spain	70-68=138	–6
T9	Kirk Triplett	United States	68-70=138	–6
