Date	Venue	Score	Result	Competition
6 June 1999	Stade du 4-Août , Ouagadougou	1–0	2–2	1999 African Cup of Nations qualifier
20 August 1999	Cicero Stadium , Asmara	1–0	2–0	2000 African Cup of Nations qualifier
25 January 2000	Sani Abacha Stadium , Kano	1–0	3–1	2000 African Cup of Nations
1 February 2000	National Stadium , Lagos	1–0	2–2	2000 African Cup of Nations
10 March 2001	Stade Leopold Senghor , Dakar	4–0	4–0	2002 World Cup qualifier
24 March 2001	Stade Leopold Senghor, Dakar	2–0	2–0	2002 African Cup of Nations qualifier
30 December 2001	Stade Leopold Senghor, Dakar	1–0	1–0	Friendly
16 June 2002	Ōita Bank Dome , Ōita	1–1	2–1	2002 World Cup
16 June 2002	Ōita Bank Dome , Ōita	2–1	2–1	2002 World Cup
8 September 2002	Setsoso Stadium, Maseru	1–0	1–0	2004 African Cup of Nations qualifier
7 June 2003	Stade Leopold Senghor, Dakar	2–0	3–1	2004 African Cup of Nations qualifier
14 June 2003	Stade Leopold Senghor, Dakar	2–0	3–0	2004 African Cup of Nations qualifier
14 June 2003	Stade Leopold Senghor, Dakar	3–0	3–0	2004 African Cup of Nations qualifier
18 August 2004	Stade Pierre de Coubertin , Avignon	1–0	1–2	Friendly
5 September 2004	Stade 26 mars , Bamako	1–1	2–2	2006 World Cup qualifier
10 October 2004	National Complex , Paynesville	2–0	3–0	2006 World Cup qualifier
10 October 2004	National Complex , Paynesville	3–0	3–0	2006 World Cup qualifier
26 March 2005	Stade Leopold Senghor, Dakar	4–0	6–1	2006 World Cup qualifier
18 June 2005	Stade Leopold Senghor, Dakar	2–1	2–2	2006 World Cup qualifier
8 October 2005	Stade Leopold Senghor, Dakar	1–0	3–0	2006 World Cup qualifier
8 October 2005	Stade Leopold Senghor, Dakar	3–0	3–0	2006 World Cup qualifier
23 January 2006	Port Said Stadium , Port Said	1–0	2–0	2006 Africa Cup of Nations
3 February 2006	Harras El-Hedoud Stadium , Alexandria	3–1	3–2	2006 Africa Cup of Nations
8 September 2007	Stade Leopold Senghor, Dakar	3–1	5–1	2008 Africa Cup of Nations qualifier
8 September 2007	Stade Leopold Senghor, Dakar	4–1	5–1	2008 Africa Cup of Nations qualifier
17 November 2007	Stade Olympique Yves-du-Manoir , Colombes	1–0	3–2	Friendly
12 January 2008	Stade Leopold Senghor, Dakar	3–1	3–1	Friendly
31 January 2008	Baba Yara Stadium , Kumasi	1–1	1–1	2008 Africa Cup of Nations
21 June 2008	Stade Leopold Senghor, Dakar	3–0	3–1	2010 World Cup qualifier
