Round	Pick #	Overall	Name	Position	College
1	8	8	Bob Whitfield	Offensive Tackle	Stanford
1	19	19	Tony Smith	Running Back	Southern Miss
2	23	51	Chuck Smith	Defensive End	Tennessee
3	17	73	Howard Dinkins	Linebacker	Florida State
4	20	104	Frankie Smith	Cornerback	Baylor
6	18	158	Terry Ray	Defensive Back	Oklahoma
7	14	182	Tim Paulk	Linebacker	Florida
8	20	216	Derrick Moore	Running Back	Troy State
8	21	217	Reggie Dwight	Tight End	Troy State
9	19	243	Keith Alex	Offensive Tackle	Texas A&M
10	18	270	Darryl Hardy	Linebacker	Tennessee
11	17	297	Robin Jones	Defensive End	Baylor
