Round	Player	Position	Nationality	College/Junior/Club Team (League)
1	Lars Eller	C	Denmark	Frölunda HC ( Swedish Elite League )
1	Ian Cole	D	United States	US National Team Development Program ( NAHL )
1	David Perron	LW	Canada	Lewiston Maineiacs ( QMJHL )
2	Simon Hjalmarsson	RW	Sweden	Frölunda HC ( Swe Jr. )
2	Aaron Palushaj	RW	United States	Des Moines Buccaneers ( USHL )
3	Brett Sonne	C/LW	Canada	Calgary Hitmen ( WHL )
4	Cade Fairchild	D	United States	US National Team Development Program ( NAHL )
4	Travis Erstad	C/RW	United States	Lincoln Stars ( USHL )
6	Anthony Peluso	D	Canada	Erie Otters ( OHL )
7	Trevor Nill	C	United States	Detroit Compuware (Michigan midget)
