Year	Human Resources & Operations	Local Affairs	Academic & University Affairs	External Affairs
2013-2014	N. Charles Hamilton	Tyler Valiquette	Julia Forster	Dominica McPherson
2012-2013	Joshua Ofori-Darko	Matthew Pecore	Deaglan (MC) McManus	Dominica McPherson
2011-2012	Joshua Ofori-Darko	Derek Alton	Jessica Carter	Demetria Jackson
2010-2011	Nick Stepanov	Anastasia Zavarella	Kevin Bowman	Denise Martins
2009-2010	Joshua Gaber	Galen Fick	Nathan Lachowsky	Momina Mir
2008-2009	Joel Harnest	Arden Hagedorn	Christi Garneau-Scott	Cailey Campbell
2007-2008	Jakki Doyle	Evan Dalzell	Derek Pieper	Cailey Campbell
2006-2007	Chris Killer	Bre Walt	Becky Wallace	John Coombs
2005-2006	Andrew Munroe	Erika Gates	Kim Neale	Scott Gilbert
2004-2005	Sean Field	Erika Gates	Jenn Watt	Ryan White
2003-2004	Quentin Sinclair	Andrew Langille	David Hornsby	Luke Weiler
2002-2003	Sanjay Chakraburtty	Tahira Dosani	Erinn White	David Sone
