Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Burgos	38	51+13	20	11	7	54	31	+23
2	Celta de Vigo	38	49+11	19	11	8	42	22	+20
3	CD Málaga	38	47+9	21	5	12	75	39	+36
4	Real Valladolid	38	43+5	16	11	11	44	27	+17
5	Deportivo de La Coruña	38	42+4	18	6	14	47	36	+11
6	Barcelona Atlètic	38	41+3	13	15	10	46	47	-1
7	CD Tenerife	38	40+2	14	12	12	50	44	+6
8	Córdoba CF	38	38	16	6	16	48	48	0
9	Rayo Vallecano	38	36-2	16	4	18	48	49	-1
10	Recreativo de Huelva	38	36-2	13	10	15	35	42	-7
11	CF Calvo Sotelo	38	36-2	13	10	15	42	51	-9
12	CD Castellón	38	36-2	12	12	14	45	47	-2
13	Cádiz CF	38	35-3	13	9	16	46	43	+3
14	CD San Andrés	38	35-3	14	7	17	38	45	-7
15	Deportivo Alavés	38	34-4	12	10	16	33	46	-13
16	Terrassa FC	38	34-4	12	10	16	35	45	-10
17	Real Murcia	38	33-5	14	5	19	46	61	-15
18	CD Ensidesa	38	33-5	11	11	16	31	46	-15
19	CA Osasuna	38	33-5	14	5	19	47	58	-11
20	Gimnàstic de Tarragona	38	28-10	10	8	20	29	54	-25
