Form (to sing)	Latin	Nuorese Sardinian	Spanish	Brazilian Portuguese	Central Catalan	Romanian	French
Infinitive	cantāre	[kanˈtare]	[kanˈtar]	[kɐ̃ˈtah] 1	[kənˈta]	[kɨnˈta(re)]	[ʃɑ̃ˈte]
Past Part.	cantātum	[kanˈtatu]	[kanˈtaðo]	[kɐ̃ˈtadu]	[kənˈtat]	[kɨnˈtat]	[ʃɑ̃ˈte]
Gerund	cantandō	[kanˈtande]	[kanˈtando]	[kɐ̃ˈtɐ̃ndu]	[kənˈtan]	[kɨnˈtɨnd]	[ʃɑ̃ˈtɑ̃]
1sg. indic.	cantō	[ˈkanto]	[ˈkanto]	[ˈkɐ̃tu]	[ˈkantu]	[ˈkɨnt]	[ˈʃɑ̃t]
2sg. indic.	cantās	[ˈkantaza]	[ˈkantas]	[ˈkɐ̃tɐs]	[ˈkantəs]	[ˈkɨntsʲ]	[ˈʃɑ̃t]
3sg. indic.	cantat	[ˈkantata]	[ˈkanta]	[ˈkɐ̃tɐ]	[ˈkantə]	[ˈkɨntə]	[ˈʃɑ̃t]
1pl. indic.	cantāmus	[kanˈtamuzu]	[kanˈtamos]	[kɐ̃ˈtɐ̃mus]	[kənˈtɛm]	[kɨnˈtəm]	[ʃɑ̃ˈtɔ̃]
2pl. indic.	cantātis	[kanˈtateze]	[kanˈtais]	[kɐ̃ˈtajs]	[kənˈtɛw]	[kɨnˈtatsʲ]	[ʃɑ̃ˈte]
3pl. indic.	cantant	[ˈkantana]	[ˈkantan]	[ˈkɐ̃tɐ̃w̃]	[ˈkantən]	[ˈkɨntə]	[ˈʃɑ̃t]
1sg. subj.	cantem	[ˈkante]	[ˈkante]	[ˈkɐ̃tʃi]	[ˈkanti]	[ˈkɨnt]	[ˈʃɑ̃t]
2sg. subj.	cantēs	[ˈkanteze]	[ˈkantes]	[ˈkɐ̃tʃis]	[ˈkantis]	[ˈkɨntsʲ]	[ˈʃɑ̃t]
3sg. subj.	cantet	[ˈkantete]	[ˈkante]	[ˈkɐ̃tʃi]	[ˈkanti]	[ˈkɨnte]	[ˈʃɑ̃t]
1pl. subj.	cantēmus	[kanˈtemuzu]	[kanˈtemos]	[kɐ̃ˈtẽmus]	[kənˈtɛm]	[kɨnˈtəm]	[ʃɑ̃ˈtjɔ̃]
2pl. subj.	cantētis	[kanˈtedeze]	[kanˈteis]	[kɐ̃ˈtejs]	[kənˈtɛw]	[kɨnˈtatsʲ]	[ʃɑ̃ˈtje]
3pl. subj.	cantent	[ˈkantene]	[ˈkanten]	[ˈkɐ̃tẽj̃]	[ˈkantin]	[ˈkɨnte]	[ˈʃɑ̃t]
2sg. impv.	cantā	[ˈkanta]	[ˈkanta]	[ˈkɐ̃tɐ]	[ˈkantə]	[ˈkɨntə]	[ˈʃɑ̃t]
