Date	Opponent	Score	Loss	Attendance	Record
September 1	Twins	12 - 4	Smithson (13-11)	26,526	78-57
September 2	Twins	6 - 0	Viola (14-12)	31,000	79-57
September 3	@ Yankees	2 - 0	Leal (13-5)	26,835	79-58
September 4	@ Yankees	6 - 4	Armstrong (3-2)	15,867	80-58
September 5	@ Yankees	4 - 3 (10)	Jackson (7-7)	17,383	80-59
September 7	Tigers	7 - 4 (10)	Musselman (0-1)	37,420	80-60
September 8	Tigers	10 - 4	Leal (13-6)	41,059	80-61
September 9	Tigers	7 - 2	Clancy (11-14)	37,392	80-62
September 10	Yankees	6 - 2	Stieb (14-6)	21,176	80-63
September 11	Yankees	10 - 3	Rasmussen (8-5)	21,451	81-63
September 12	Yankees	2 - 1	Niekro (16-8)	20,426	82-63
September 13	Yankees	6 - 1	Leal (13-7)	20,681	82-64
September 14	@ Tigers	7 - 2	Morris (17-11)	46,040	83-64
September 15	@ Tigers	2 - 1	Stieb (14-7)	44,349	83-65
September 16	@ Tigers	8 - 3	Clark (1-2)	45,488	83-66
September 17	Red Sox	5 - 4	Ojeda (11-12)	18,480	84-66
September 18	Red Sox	10 - 3	Leal (13-8)	18,399	84-67
September 19	Red Sox	10 - 4	Clancy (12-15)	23,212	84-68
September 20	Brewers	6 - 4	Gibson (1-4)	21,688	85-68
September 21	Brewers	5 - 1	Lamp (8-8)	21,147	85-69
September 22	Brewers	2 - 1	Haas (9-11)	26,152	86-69
September 23	Brewers	8 - 5	Jackson (7-8)	28,550	86-70
September 24	@ Red Sox	9 - 8	Hurst (12-11)	13,328	87-70
September 25	@ Red Sox	14 - 6	Stieb (15-8)	14,259	87-71
September 26	@ Red Sox	8 - 4	Boyd (12-11)	13,065	88-71
September 28	@ Brewers	4 - 3 (11)	Musselman (0-2)	17,026	88-72
September 29	@ Brewers	5 - 4	Cocanower (8-16)	9,736	89-72
September 30	@ Brewers	4 - 0	Alexander (17-6)	10,277	89-73
