Player	Pos.	Nationality	Previous team	Years of NBA experience [a ]
Del Beshore Category:Articles with hCards	G	United States	Chicago Bulls	2
Winford Boynes Category:Articles with hCards	G/F	United States	New Jersey Nets	2
Alonzo Bradley Category:Articles with hCards	F	United States	Houston Rockets	3
Mike Bratz Category:Articles with hCards	G	United States	Phoenix Suns	3
Marty Byrnes Category:Articles with hCards	F	United States	Los Angeles Lakers	2
Austin Carr Category:Articles with hCards +	G	United States	Cleveland Cavaliers	9
Jim Cleamons Category:Articles with hCards	G	United States	Washington Bullets	9
Terry Duerod Category:Articles with hCards	G	United States	Detroit Pistons	1
Jack Givens Category:Articles with hCards	G/F	United States	Atlanta Hawks	2
Joe Hassett Category:Articles with hCards	G	United States	Indiana Pacers	3
Geoff Huston Category:Articles with hCards	G	United States	New York Knicks	1
Abdul Jeelani Category:Articles with hCards [c ]	F/C	United States	Portland Trail Blazers	1
Jeff Judkins Category:Articles with hCards	G/F	United States	Boston Celtics	2
Arvid Kramer Category:Articles with hCards	C	United States	Denver Nuggets	1
Paul Silas Category:Articles with hCards	F/C	United States	Seattle SuperSonics	16
Billy McKinney Category:Articles with hCards	G	United States	Kansas City Kings	2
Wiley Peck Category:Articles with hCards	G	United States	San Antonio Spurs	1
Bob Carrington Category:Articles with hCards	G/F	United States	San Diego Clippers	1
Al Skinner Category:Articles with hCards	G/F	United States	Philadelphia 76ers	6
Raymond Townsend Category:Articles with hCards	G	United States	Golden State Warriors	2
Richard Washington Category:Articles with hCards	F/C	United States	Milwaukee Bucks	4
Jerome Whitehead Category:Articles with hCards	F/C	United States	Utah Jazz	2
