Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CD Málaga	30	44	19	6	5	44	18	+26
2	Real Betis	30	40	18	4	8	47	26	+21
3	CD Castellón	30	37	15	7	8	42	24	+18
4	Levante UD	30	37	16	5	9	41	26	+15
5	RCD Mallorca	30	35	14	7	9	45	30	+15
6	CD Europa	30	32	12	8	10	29	33	-4
7	Real Murcia	30	32	14	4	12	39	36	+3
8	Cádiz CF	30	29	11	7	12	35	41	-6
9	CD Mestalla	30	29	12	5	13	45	53	-8
10	CF Badalona	30	27	11	5	14	32	40	-8
11	Recreativo de Huelva	30	25	8	9	13	31	34	-3
12	UD Lérida	30	24	8	8	14	30	40	-10
13	Atlético Ceuta	30	24	10	4	16	31	44	-13
14	CD Constancia	30	22	6	10	14	29	41	-12
15	Algeciras CF	30	22	7	8	15	22	36	-14
16	CD Condal	30	21	8	5	17	33	53	-20
